"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL NIETO (000)",31645,17497,2675,3581,7892
"Sin nivel (001)",1847,1626,71,60,90
"Educación inicial (002)",33,29,1,3,
"Primaria (003)",5076,3900,328,275,573
"Secundaria (004)",9430,5876,769,857,1928
"Superior no univ. incompleta (005)",2830,1575,269,287,699
"Superior no univ. completa (006)",5117,1988,534,904,1691
"Superior univ. incompleta (007)",2136,1035,194,244,663
"Superior univ. completa (008)",5176,1468,509,951,2248
"De 06 a 14 años (010)",284,253,21,9,1
"Sin nivel (011)",1,1,,,
"Educación inicial (012)",6,6,,,
"Primaria (013)",145,129,12,4,
"Secundaria (014)",132,117,9,5,1
"De 15 a 29 años (020)",8760,4759,905,966,2130
"Sin nivel (021)",47,38,4,5,
"Educación inicial (022)",10,7,1,2,
"Primaria (023)",411,305,30,26,50
"Secundaria (024)",3323,2164,322,268,569
"Superior no univ. incompleta (025)",1220,730,120,114,256
"Superior no univ. completa (026)",1677,697,187,261,532
"Superior univ. incompleta (027)",902,475,92,94,241
"Superior univ. completa (028)",1170,343,149,196,482
"De 30 a 44 años (030)",12235,5873,1092,1729,3541
"Sin nivel (031)",403,318,25,22,38
"Educación inicial (032)",17,16,,1,
"Primaria (033)",1442,1036,112,100,194
"Secundaria (034)",3515,2072,276,357,810
"Superior no univ. incompleta (035)",1090,574,102,118,296
"Superior no univ. completa (036)",2467,886,264,500,817
"Superior univ. incompleta (037)",752,320,71,113,248
"Superior univ. completa (038)",2549,651,242,518,1138
"De 45 a 64 años (040)",8452,4940,599,815,2098
"Sin nivel (041)",805,707,34,27,37
"Primaria (043)",2255,1700,148,128,279
"Secundaria (044)",2239,1346,152,211,530
"Superior no univ. incompleta (045)",462,225,47,50,140
"Superior no univ. completa (046)",890,345,75,139,331
"Superior univ. incompleta (047)",441,208,29,36,168
"Superior univ. completa (048)",1360,409,114,224,613
"De 65 y más años (050)",1914,1672,58,62,122
"Sin nivel (051)",591,562,8,6,15
"Primaria (053)",823,730,26,17,50
"Secundaria (054)",221,177,10,16,18
"Superior no univ. incompleta (055)",58,46,,5,7
"Superior no univ. completa (056)",83,60,8,4,11
"Superior univ. incompleta (057)",41,32,2,1,6
