"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTA CRUZ (000)",32296,4810,2501,489,24522
"Conviviente (001)",8930,667,365,82,7817
"Separado(a) (002)",758,67,30,12,650
"Casado(a) (003)",9144,575,1248,229,7108
"Viudo(a) (004)",1572,79,110,29,1354
"Divorciado(a) (005)",77,5,5,3,64
"Soltero(a) (006)",11815,3417,743,134,7529
"Hombres (008)",16099,2272,1260,284,12296
"Conviviente (009)",4355,222,178,50,3905
"Separado(a) (010)",148,9,9,7,124
"Casado(a) (011)",4559,232,649,149,3539
"Viudo(a) (012)",394,25,24,6,339
"Divorciado(a) (013)",28,1,2,3,22
"Soltero(a) (014)",6615,1783,398,69,4367
"Mujeres (016)",16197,2538,1241,205,12226
"Conviviente (017)",4575,445,187,32,3912
"Separado(a) (018)",610,58,21,5,526
"Casado(a) (019)",4585,343,599,80,3569
"Viudo(a) (020)",1178,54,86,23,1015
"Divorciado(a) (021)",49,4,3,,42
"Soltero(a) (022)",5200,1634,345,65,3162
,,,,,
"URBANA (024)",7018,860,1541,276,4363
"Conviviente (025)",1668,137,229,47,1255
"Separado(a) (026)",183,21,25,8,129
"Casado(a) (027)",2258,146,751,151,1224
"Viudo(a) (028)",274,21,48,9,196
"Divorciado(a) (029)",25,2,3,2,18
"Soltero(a) (030)",2610,533,485,59,1541
"Hombres (032)",3461,387,759,177,2149
"Conviviente (033)",835,42,117,32,644
"Separado(a) (034)",41,3,7,4,27
"Casado(a) (035)",1154,63,375,107,618
"Viudo(a) (036)",60,7,9,1,43
"Divorciado(a) (037)",13,1,2,2,8
"Soltero(a) (038)",1358,271,249,31,809
"Mujeres (040)",3557,473,782,99,2214
"Conviviente (041)",833,95,112,15,611
"Separado(a) (042)",142,18,18,4,102
"Casado(a) (043)",1104,83,376,44,606
"Viudo(a) (044)",214,14,39,8,153
"Divorciado(a) (045)",12,1,1,,10
"Soltero(a) (046)",1252,262,236,28,732
,,,,,
"RURAL (048)",25278,3950,960,213,20159
"Conviviente (049)",7262,530,136,35,6562
"Separado(a) (050)",575,46,5,4,521
"Casado(a) (051)",6886,429,497,78,5884
"Viudo(a) (052)",1298,58,62,20,1158
"Divorciado(a) (053)",52,3,2,1,46
"Soltero(a) (054)",9205,2884,258,75,5988
"Hombres (056)",12638,1885,501,107,10147
"Conviviente (057)",3520,180,61,18,3261
"Separado(a) (058)",107,6,2,3,97
"Casado(a) (059)",3405,169,274,42,2921
"Viudo(a) (060)",334,18,15,5,296
"Divorciado(a) (061)",15,,,1,14
"Soltero(a) (062)",5257,1512,149,38,3558
"Mujeres (064)",12640,2065,459,106,10012
"Conviviente (065)",3742,350,75,17,3301
"Separado(a) (066)",468,40,3,1,424
"Casado(a) (067)",3481,260,223,36,2963
"Viudo(a) (068)",964,40,47,15,862
"Divorciado(a) (069)",37,3,2,,32
"Soltero(a) (070)",3948,1372,109,37,2430
