"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONDORCANQUI (000)",8505,595,5038,1541,348,102,45,21,9,,806
"Catolica (001)",2018,118,1130,398,122,30,11,9,1,,199
"Cristiana / Evangelica (002)",3470,275,2069,628,117,40,18,7,5,,311
"Otra (003)",1359,73,827,251,53,14,7,3,1,,130
"Ninguna (004)",1658,129,1012,264,56,18,9,2,2,,166
,,,,,,,,,,,
"URBANA (006)",1298,68,689,253,73,23,9,7,,,176
"Catolica (007)",542,23,258,125,48,12,4,4,,,68
"Cristiana / Evangelica (008)",519,26,301,91,21,9,4,3,,,64
"Otra (009)",137,14,74,26,3,1,,,,,19
"Ninguna (010)",100,5,56,11,1,1,1,,,,25
,,,,,,,,,,,
"RURAL (012)",7207,527,4349,1288,275,79,36,14,9,,630
"Catolica (013)",1476,95,872,273,74,18,7,5,1,,131
"Cristiana / Evangelica (014)",2951,249,1768,537,96,31,14,4,5,,247
"Otra (015)",1222,59,753,225,50,13,7,3,1,,111
"Ninguna (016)",1558,124,956,253,55,17,8,2,2,,141
