"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLOGNESI (000)",10942,10619,2944,1317,1354,1142,1762,1076,602,422,323,31956
"De 12 a 14 años (001)",988,984,979,5,,,,,,,4,5
"De 15 a 19 años (002)",1256,1237,1090,123,21,,3,,,,19,177
"De 20 a 24 años (003)",1161,1051,393,387,209,48,12,2,,,110,1010
"De 25 a 29 años (004)",1053,981,145,301,273,159,92,10,1,,72,1787
"De 30 a 34 años (005)",960,912,96,146,225,197,187,51,8,2,48,2405
"De 35 a 39 años (006)",939,917,51,95,186,189,264,95,29,8,22,3121
"De 40 a 44 años (007)",793,781,42,58,107,139,224,137,49,25,12,3238
"De 45 a 49 años (008)",662,654,19,41,71,85,185,140,70,43,8,3217
"De 50 y más años (009)",3130,3102,129,161,262,325,795,641,445,344,28,16996
"PEA (010)",3194,3047,599,475,489,372,555,309,152,96,147,9359
"De 12 a 14 años (011)",29,29,29,,,,,,,,,
"De 15 a 19 años (012)",201,200,171,22,7,,,,,,1,36
"De 20 a 24 años (013)",390,345,155,118,56,9,6,1,,,45,287
"De 25 a 29 años (014)",420,378,82,130,101,45,16,4,,,42,558
"De 30 a 34 años (015)",380,352,64,67,93,68,49,10,1,,28,736
"De 35 a 39 años (016)",401,388,28,54,85,74,104,29,11,3,13,1210
"De 40 a 44 años (017)",320,316,15,24,61,60,95,41,14,6,4,1198
"De 45 a 49 años (018)",233,230,11,16,27,31,66,53,15,11,3,1047
"De 50 y más años (019)",820,809,44,44,59,85,219,171,111,76,11,4287
"Ocupada (020)",3034,2896,516,452,470,362,545,305,150,96,138,9178
"De 12 a 14 años (021)",29,29,29,,,,,,,,,
"De 15 a 19 años (022)",170,169,141,21,7,,,,,,1,35
