"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CARHUAZ (000)",17287,16786,5105,2310,2225,1728,2465,1451,1502,501
"Católica (001)",16137,15672,4756,2189,2080,1608,2307,1344,1388,465
"Cristiana/Evangélica (002)",986,956,291,99,125,106,131,99,105,30
"Otra (003)",105,104,34,13,15,9,19,5,9,1
"Ninguna (004)",59,54,24,9,5,5,8,3,,5
,,,,,,,,,,
"URBANA (006)",5966,5754,1745,895,876,619,861,400,358,212
"Católica (007)",5511,5318,1601,831,809,575,799,364,339,193
"Cristiana/Evangélica (008)",352,338,107,46,53,35,47,32,18,14
"Otra (009)",63,62,21,10,11,5,11,3,1,1
"Ninguna (010)",40,36,16,8,3,4,4,1,,4
,,,,,,,,,,
"RURAL (012)",11321,11032,3360,1415,1349,1109,1604,1051,1144,289
"Católica (013)",10626,10354,3155,1358,1271,1033,1508,980,1049,272
"Cristiana/Evangélica (014)",634,618,184,53,72,71,84,67,87,16
"Otra (015)",42,42,13,3,4,4,8,2,8,
"Ninguna (016)",19,18,8,1,2,1,4,2,,1
