"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia QUISPICANCHI (000)",19502,10948,8554
"Red pública de desague dentro de la vivienda (001)",3564,3307,257
"Red pública de desague fuera de la vivienda (002)",1406,1295,111
"Pozo séptico (003)",1146,597,549
"Pozo ciego o negro / letrina (004)",3887,1788,2099
"Río, acequia o canal (005)",859,337,522
"No tiene (006)",8640,3624,5016
,,,
"URBANA (008)",6844,5702,1142
"Red pública de desague dentro de la vivienda (009)",2601,2509,92
"Red pública de desague fuera de la vivienda (010)",1102,1033,69
"Pozo séptico (011)",170,138,32
"Pozo ciego o negro / letrina (012)",242,202,40
"Río, acequia o canal (013)",400,170,230
"No tiene (014)",2329,1650,679
,,,
"RURAL (016)",12658,5246,7412
"Red pública de desague dentro de la vivienda (017)",963,798,165
"Red pública de desague fuera de la vivienda (018)",304,262,42
"Pozo séptico (019)",976,459,517
"Pozo ciego o negro / letrina (020)",3645,1586,2059
"Río, acequia o canal (021)",459,167,292
"No tiene (022)",6311,1974,4337
