"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia RECUAY (000)",6002,1085,1161,2601,50,565,41,499
"Agric., ganadería, caza y silvicultura (001)",2255,5,310,1491,8,441,,
"Pesca (002)",12,,7,4,,1,,
"Explotación de minas y canteras (003)",261,72,179,6,4,,,
"Industrias manufactureras (004)",176,5,53,101,3,14,,
"Suministro de electricidad, gas y agua (005)",13,4,9,,,,,
"Construcción (006)",366,12,294,56,3,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",683,74,22,515,7,65,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",72,9,16,43,,4,,
"Comercio al por mayor (009)",12,2,2,6,1,1,,
"Comercio al por menor (010)",599,63,4,466,6,60,,
"Hoteles y restaurantes (011)",215,59,16,109,7,24,,
"Trans., almac. y comunicaciones (012)",351,64,128,141,13,5,,
"Intermediación financiera (013)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (014)",117,79,12,22,2,2,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",299,216,83,,,,,
"Enseñanza (016)",417,403,1,13,,,,
"Servicios sociales y de salud (017)",49,38,2,8,1,,,
"Otras activ. serv.comun.soc y personales (018)",128,40,32,53,2,1,,
"Hogares privados con servicio doméstico (019)",41,,,,,,41,
"Actividad economica no especificada (021)",118,12,13,82,,11,,
"Desocupado (022)",499,,,,,,,499
"Hombres (023)",4340,669,1052,1883,40,289,1,406
"Agric., ganadería, caza y silvicultura (024)",1803,3,255,1294,6,245,,
"Pesca (025)",12,,7,4,,1,,
"Explotación de minas y canteras (026)",256,69,177,6,4,,,
"Industrias manufactureras (027)",142,4,46,79,3,10,,
"Suministro de electricidad, gas y agua (028)",13,4,9,,,,,
"Construcción (029)",358,12,287,55,3,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",299,43,22,211,5,18,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",69,9,16,41,,3,,
"Comercio al por mayor (032)",7,,2,3,1,1,,
"Comercio al por menor (033)",223,34,4,167,4,14,,
"Hoteles y restaurantes (034)",52,16,3,21,4,8,,
"Trans., almac. y comunicaciones (035)",326,52,124,136,11,3,,
"Activid.inmobil., empres. y alquileres (037)",80,52,9,16,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",222,150,72,,,,,
"Enseñanza (039)",228,224,1,3,,,,
"Servicios sociales y de salud (040)",14,5,1,7,1,,,
"Otras activ. serv.comun.soc y personales (041)",82,28,30,23,1,,,
"Hogares privados con servicio doméstico (042)",1,,,,,,1,
"Actividad economica no especificada (044)",46,7,9,28,,2,,
"Desocupado (045)",406,,,,,,,406
"Mujeres (046)",1662,416,109,718,10,276,40,93
"Agric., ganadería, caza y silvicultura (047)",452,2,55,197,2,196,,
"Explotación de minas y canteras (049)",5,3,2,,,,,
"Industrias manufactureras (050)",34,1,7,22,,4,,
"Construcción (052)",8,,7,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",384,31,,304,2,47,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",3,,,2,,1,,
"Comercio al por mayor (055)",5,2,,3,,,,
"Comercio al por menor (056)",376,29,,299,2,46,,
"Hoteles y restaurantes (057)",163,43,13,88,3,16,,
"Trans., almac. y comunicaciones (058)",25,12,4,5,2,2,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",37,27,3,6,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",77,66,11,,,,,
"Enseñanza (062)",189,179,,10,,,,
"Servicios sociales y de salud (063)",35,33,1,1,,,,
"Otras activ. serv.comun.soc y personales (064)",46,12,2,30,1,1,,
"Hogares privados con servicio doméstico (065)",40,,,,,,40,
"Actividad economica no especificada (067)",72,5,4,54,,9,,
"Desocupado (068)",93,,,,,,,93
,,,,,,,,
"URBANA (069)",3558,860,676,1360,38,272,33,319
"Agric., ganadería, caza y silvicultura (070)",870,2,135,548,6,179,,
"Pesca (071)",1,,1,,,,,
"Explotación de minas y canteras (072)",135,54,72,6,3,,,
"Industrias manufactureras (073)",118,3,37,65,2,11,,
"Suministro de electricidad, gas y agua (074)",8,4,4,,,,,
"Construcción (075)",258,12,205,38,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",539,51,16,407,7,58,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",54,6,11,33,,4,,
"Comercio al por mayor (078)",9,2,2,4,1,,,
"Comercio al por menor (079)",476,43,3,370,6,54,,
"Hoteles y restaurantes (080)",140,35,10,77,6,12,,
"Trans., almac. y comunicaciones (081)",253,50,94,100,7,2,,
"Intermediación financiera (082)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (083)",82,56,7,16,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",265,199,66,,,,,
"Enseñanza (085)",337,324,1,12,,,,
"Servicios sociales y de salud (086)",40,29,2,8,1,,,
"Otras activ. serv.comun.soc y personales (087)",83,31,17,32,2,1,,
"Hogares privados con servicio doméstico (088)",33,,,,,,33,
"Actividad economica no especificada (090)",76,9,9,51,,7,,
"Desocupado (091)",319,,,,,,,319
"Hombres (092)",2417,525,616,876,31,115,1,253
"Agric., ganadería, caza y silvicultura (093)",670,2,111,466,5,86,,
"Pesca (094)",1,,1,,,,,
"Explotación de minas y canteras (095)",130,51,70,6,3,,,
"Industrias manufactureras (096)",91,3,32,47,2,7,,
"Suministro de electricidad, gas y agua (097)",8,4,4,,,,,
"Construcción (098)",252,12,200,37,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",222,31,16,154,5,16,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",51,6,11,31,,3,,
"Comercio al por mayor (101)",5,,2,2,1,,,
"Comercio al por menor (102)",166,25,3,121,4,13,,
"Hoteles y restaurantes (103)",36,9,3,16,4,4,,
"Trans., almac. y comunicaciones (104)",232,38,92,96,6,,,
"Activid.inmobil., empres. y alquileres (106)",52,35,5,10,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",195,137,58,,,,,
"Enseñanza (108)",177,174,1,2,,,,
"Servicios sociales y de salud (109)",12,3,1,7,1,,,
"Otras activ. serv.comun.soc y personales (110)",55,22,15,17,1,,,
"Hogares privados con servicio doméstico (111)",1,,,,,,1,
"Actividad economica no especificada (113)",30,4,7,18,,1,,
"Desocupado (114)",253,,,,,,,253
"Mujeres (115)",1141,335,60,484,7,157,32,66
"Agric., ganadería, caza y silvicultura (116)",200,,24,82,1,93,,
"Explotación de minas y canteras (118)",5,3,2,,,,,
"Industrias manufactureras (119)",27,,5,18,,4,,
"Construcción (121)",6,,5,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",317,20,,253,2,42,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",3,,,2,,1,,
