"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAROCHIRI (000)",72845,1267,19338,19597,15457,11459,5727
"Hombres (001)",38437,639,9789,10572,8484,6038,2915
"Mujeres (002)",34408,628,9549,9025,6973,5421,2812
"Viviendas particulares (003)",69102,1256,19090,18147,13975,10940,5694
"Hombres (004)",35042,634,9654,9232,7075,5560,2887
"Mujeres (005)",34060,622,9436,8915,6900,5380,2807
"Viviendas colectivas (006)",3657,11,247,1419,1442,506,32
"Hombres (007)",3324,5,134,1318,1371,469,27
"Mujeres (008)",333,6,113,101,71,37,5
"Otro tipo (009)",86,,1,31,40,13,1
"Hombres (010)",71,,1,22,38,9,1
"Mujeres (011)",15,,,9,2,4,
,,,,,,,
"URBANA (012)",49334,834,13198,13119,10364,7856,3963
"Hombres (013)",25215,428,6729,6760,5365,3937,1996
"Mujeres (014)",24119,406,6469,6359,4999,3919,1967
"Viviendas particulares (015)",47675,823,12959,12534,9776,7650,3933
"Hombres (016)",23850,423,6600,6258,4830,3768,1971
"Mujeres (017)",23825,400,6359,6276,4946,3882,1962
"Viviendas colectivas (018)",1576,11,238,556,549,193,29
"Hombres (019)",1295,5,128,480,498,160,24
"Mujeres (020)",281,6,110,76,51,33,5
"Otro tipo (021)",83,,1,29,39,13,1
"Hombres (022)",70,,1,22,37,9,1
"Mujeres (023)",13,,,7,2,4,
,,,,,,,
"RURAL (024)",23511,433,6140,6478,5093,3603,1764
"Hombres (025)",13222,211,3060,3812,3119,2101,919
"Mujeres (026)",10289,222,3080,2666,1974,1502,845
"Viviendas particulares (027)",21427,433,6131,5613,4199,3290,1761
"Hombres (028)",11192,211,3054,2974,2245,1792,916
"Mujeres (029)",10235,222,3077,2639,1954,1498,845
"Viviendas colectivas (030)",2081,,9,863,893,313,3
"Hombres (031)",2029,,6,838,873,309,3
"Mujeres (032)",52,,3,25,20,4,
"Otro tipo (033)",3,,,2,1,,
"Hombres (034)",1,,,,1,,
"Mujeres (035)",2,,,2,,,
