"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PIURA (000)",580212,125231,186447,132223,97668,38643
"Sin nivel (001)",45915,3674,4718,11020,14617,11886
"Educación inicial (002)",9650,9247,272,131,,
"Primaria (003)",200028,88875,33393,31705,29744,16311
"Secundaria (004)",175558,23435,83840,40414,22902,4967
"Superior no univ. incompleta (005)",32249,,18851,8721,3982,695
"Superior no univ. completa (006)",47068,,13799,19779,11415,2075
"Superior univ. incompleta (007)",30471,,21532,4858,3567,514
"Superior univ. completa (008)",39273,,10042,15595,11441,2195
"PEA (010)",239839,3307,82923,86397,57744,9468
"Sin nivel (011)",13545,139,1563,4307,5173,2363
"Educación inicial (012)",184,40,95,49,,
"Primaria (013)",55687,2089,15373,17104,16561,4560
"Secundaria (014)",77960,1039,33932,27261,14554,1174
"Superior no univ. incompleta (015)",17137,,8062,6157,2736,182
"Superior no univ. completa (016)",32099,,9578,14704,7387,430
"Superior univ. incompleta (017)",13253,,6706,3740,2668,139
"Superior univ. completa (018)",29974,,7614,13075,8665,620
"Ocupada (020)",226138,3013,75803,82689,55536,9097
"Sin nivel (021)",12878,114,1454,4084,4954,2272
"Educación inicial (022)",174,40,87,47,,
"Primaria (023)",52343,1907,14127,16137,15804,4368
"Secundaria (024)",73009,952,30970,26025,13928,1134
"Superior no univ. incompleta (025)",16153,,7422,5925,2635,171
"Superior no univ. completa (026)",30500,,8710,14184,7192,414
"Superior univ. incompleta (027)",12401,,6091,3595,2583,132
