"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN IGNACIO (000)",28848,541,14582,7890,1969,546,222,64,9,,3025
"Catolica (001)",24281,456,12176,6633,1723,477,184,54,6,,2572
"Cristiana / Evangelica (002)",2889,46,1539,790,165,45,20,6,2,,276
"Otra (003)",1022,20,527,290,52,20,15,1,1,,96
"Ninguna (004)",656,19,340,177,29,4,3,3,,,81
,,,,,,,,,,,
"URBANA (006)",4957,69,2029,1474,510,176,71,19,4,,605
"Catolica (007)",4384,58,1796,1298,461,159,64,14,2,,532
"Cristiana / Evangelica (008)",327,6,133,99,26,10,5,3,1,,44
"Otra (009)",169,4,63,57,19,7,1,1,1,,16
"Ninguna (010)",77,1,37,20,4,,1,1,,,13
,,,,,,,,,,,
"RURAL (012)",23891,472,12553,6416,1459,370,151,45,5,,2420
"Catolica (013)",19897,398,10380,5335,1262,318,120,40,4,,2040
"Cristiana / Evangelica (014)",2562,40,1406,691,139,35,15,3,1,,232
"Otra (015)",853,16,464,233,33,13,14,,,,80
"Ninguna (016)",579,18,303,157,25,4,2,2,,,68
