"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",15842,880,4669,2704,1882,1719,1367,1024,1597
"Quechua (001)",12073,537,3221,1955,1390,1371,1193,918,1488
"Aymara (002)",17,1,1,2,1,2,3,2,5
"Otra lengua nativa (004)",19,,14,2,1,2,,,
"Castellano (005)",3694,342,1429,735,485,337,165,102,99
"Idioma extranjero (006)",5,,,2,,2,1,,
"Es sordomudo/a (007)",34,,4,8,5,5,5,2,5
"Hombres (009)",7882,454,2374,1358,925,855,659,485,772
"Quechua (010)",5882,287,1648,956,660,654,557,418,702
"Aymara (011)",7,,1,,1,,2,1,2
"Otra lengua nativa (013)",5,,3,,1,1,,,
"Castellano (014)",1971,167,720,396,261,199,97,65,66
"Es sordomudo/a (016)",17,,2,6,2,1,3,1,2
"Mujeres (018)",7960,426,2295,1346,957,864,708,539,825
"Quechua (019)",6191,250,1573,999,730,717,636,500,786
"Aymara (020)",10,1,,2,,2,1,1,3
"Otra lengua nativa (022)",14,,11,2,,1,,,
"Castellano (023)",1723,175,709,339,224,138,68,37,33
"Idioma extranjero (024)",5,,,2,,2,1,,
"Es sordomudo/a (025)",17,,2,2,3,4,2,1,3
,,,,,,,,,
"URBANA (027)",4175,218,1023,739,609,527,394,263,402
"Quechua (028)",2042,43,276,321,296,295,277,192,342
"Aymara (029)",5,,,2,,1,1,,1
"Otra lengua nativa (031)",19,,14,2,1,2,,,
"Castellano (032)",2096,175,732,412,309,226,114,71,57
"Idioma extranjero (033)",3,,,1,,2,,,
"Es sordomudo/a (034)",10,,1,1,3,1,2,,2
"Hombres (036)",2135,110,535,383,304,280,202,131,190
"Quechua (037)",1014,28,153,170,138,149,131,88,157
"Aymara (038)",1,,,,,,1,,
"Otra lengua nativa (040)",5,,3,,1,1,,,
"Castellano (041)",1110,82,378,213,163,129,69,43,33
"Es sordomudo/a (043)",5,,1,,2,1,1,,
"Mujeres (045)",2040,108,488,356,305,247,192,132,212
"Quechua (046)",1028,15,123,151,158,146,146,104,185
"Aymara (047)",4,,,2,,1,,,1
"Otra lengua nativa (049)",14,,11,2,,1,,,
"Castellano (050)",986,93,354,199,146,97,45,28,24
"Idioma extranjero (051)",3,,,1,,2,,,
"Es sordomudo/a (052)",5,,,1,1,,1,,2
,,,,,,,,,
"RURAL (054)",11667,662,3646,1965,1273,1192,973,761,1195
"Quechua (055)",10031,494,2945,1634,1094,1076,916,726,1146
"Aymara (056)",12,1,1,,1,1,2,2,4
"Castellano (059)",1598,167,697,323,176,111,51,31,42
"Idioma extranjero (060)",2,,,1,,,1,,
"Es sordomudo/a (061)",24,,3,7,2,4,3,2,3
"Hombres (063)",5747,344,1839,975,621,575,457,354,582
"Quechua (064)",4868,259,1495,786,522,505,426,330,545
"Aymara (065)",6,,1,,1,,1,1,2
"Castellano (068)",861,85,342,183,98,70,28,22,33
"Es sordomudo/a (070)",12,,1,6,,,2,1,2
"Mujeres (072)",5920,318,1807,990,652,617,516,407,613
"Quechua (073)",5163,235,1450,848,572,571,490,396,601
"Aymara (074)",6,1,,,,1,1,1,2
"Castellano (077)",737,82,355,140,78,41,23,9,9
"Idioma extranjero (078)",2,,,1,,,1,,
"Es sordomudo/a (079)",12,,2,1,2,4,1,1,1
