"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHEROS (000)",11857,9671,824,616,746
"Sin nivel (001)",1418,1352,31,26,9
"Educación inicial (002)",7,7,,,
"Primaria (003)",4675,4274,244,110,47
"Secundaria (004)",3678,3238,228,111,101
"Superior no univ. incompleta (005)",313,221,33,21,38
"Superior no univ. completa (006)",688,271,87,109,221
"Superior univ. incompleta (007)",194,99,23,16,56
"Superior univ. completa (008)",884,209,178,223,274
"De 06 a 14 años (010)",163,148,12,2,1
"Sin nivel (011)",3,3,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",108,97,9,1,1
"Secundaria (014)",51,47,3,1,
"De 15 a 29 años (020)",3272,2651,260,153,208
"Sin nivel (021)",55,54,,1,
"Educación inicial (022)",3,3,,,
"Primaria (023)",775,682,52,29,12
"Secundaria (024)",1884,1672,118,54,40
"Superior no univ. incompleta (025)",127,97,14,7,9
"Superior no univ. completa (026)",193,77,22,27,67
"Superior univ. incompleta (027)",52,26,10,4,12
"Superior univ. completa (028)",183,40,44,31,68
"De 30 a 44 años (030)",4332,3295,351,283,403
"Sin nivel (031)",258,242,7,3,6
"Educación inicial (032)",3,3,,,
"Primaria (033)",1691,1546,95,35,15
"Secundaria (034)",1246,1093,81,32,40
"Superior no univ. incompleta (035)",139,96,14,12,17
"Superior no univ. completa (036)",390,150,48,63,129
"Superior univ. incompleta (037)",103,51,6,10,36
"Superior univ. completa (038)",502,114,100,128,160
"De 45 a 64 años (040)",3063,2603,167,163,130
"Sin nivel (041)",614,583,14,15,2
"Primaria (043)",1613,1491,66,38,18
"Secundaria (044)",462,392,25,24,21
"Superior no univ. incompleta (045)",44,26,5,2,11
"Superior no univ. completa (046)",103,42,17,19,25
"Superior univ. incompleta (047)",37,20,7,2,8
"Superior univ. completa (048)",190,49,33,63,45
"De 65 y más años (050)",1027,974,34,15,4
"Sin nivel (051)",488,470,10,7,1
"Primaria (053)",488,458,22,7,1
"Secundaria (054)",35,34,1,,
"Superior no univ. incompleta (055)",3,2,,,1
"Superior no univ. completa (056)",2,2,,,
"Superior univ. incompleta (057)",2,2,,,
"Superior univ. completa (058)",9,6,1,1,1
,,,,,
"URBANA (060)",4796,3392,393,403,608
