"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ANGARAES (000)",29316,5037,10151,7015,7113
"Asiste actualmente (001)",20409,1922,9302,6403,2782
"No asiste (002)",8907,3115,849,612,4331
"Hombres (004)",14735,2509,5191,3548,3487
"Asiste actualmente (005)",10604,921,4746,3305,1632
"No asiste (006)",4131,1588,445,243,1855
"Mujeres (008)",14581,2528,4960,3467,3626
"Asiste actualmente (009)",9805,1001,4556,3098,1150
"No asiste (010)",4776,1527,404,369,2476
,,,,,
"URBANA (012)",7844,1175,2479,2043,2147
"Asiste actualmente (013)",5834,521,2339,1911,1063
"No asiste (014)",2010,654,140,132,1084
"Hombres (016)",3890,568,1246,1034,1042
"Asiste actualmente (017)",2965,250,1176,962,577
"No asiste (018)",925,318,70,72,465
"Mujeres (020)",3954,607,1233,1009,1105
"Asiste actualmente (021)",2869,271,1163,949,486
"No asiste (022)",1085,336,70,60,619
,,,,,
"RURAL (024)",21472,3862,7672,4972,4966
"Asiste actualmente (025)",14575,1401,6963,4492,1719
"No asiste (026)",6897,2461,709,480,3247
"Hombres (028)",10845,1941,3945,2514,2445
"Asiste actualmente (029)",7639,671,3570,2343,1055
"No asiste (030)",3206,1270,375,171,1390
"Mujeres (032)",10627,1921,3727,2458,2521
"Asiste actualmente (033)",6936,730,3393,2149,664
"No asiste (034)",3691,1191,334,309,1857
