"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia OYON (000)",7149,6889,1936,871,886,698,1079,659,760,260
"Católica (001)",5555,5346,1513,694,705,549,843,476,566,209
"Cristiana/Evangélica (002)",1348,1315,334,143,159,127,210,169,173,33
"Otra (003)",111,103,35,12,10,10,11,8,17,8
"Ninguna (004)",135,125,54,22,12,12,15,6,4,10
,,,,,,,,,,
"URBANA (006)",4980,4815,1375,634,670,506,744,422,464,165
"Católica (007)",3859,3735,1065,515,535,398,581,290,351,124
"Cristiana/Evangélica (008)",962,935,254,94,116,97,151,126,97,27
"Otra (009)",73,67,22,10,8,6,5,3,13,6
"Ninguna (010)",86,78,34,15,11,5,7,3,3,8
,,,,,,,,,,
"RURAL (012)",2169,2074,561,237,216,192,335,237,296,95
"Católica (013)",1696,1611,448,179,170,151,262,186,215,85
"Cristiana/Evangélica (014)",386,380,80,49,43,30,59,43,76,6
"Otra (015)",38,36,13,2,2,4,6,5,4,2
"Ninguna (016)",49,47,20,7,1,7,8,3,1,2
