"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PUERTO INCA (000)",11220,502,4315,3634,2295,474
"Empleado (001)",734,4,239,369,120,2
"Obrero (002)",1895,67,977,504,295,52
"Trabajador independiente (003)",5699,6,1549,2216,1574,354
"Empleador o patrono (004)",118,1,28,50,34,5
"Trabajador familiar no remunerado (005)",1942,352,1112,306,141,31
"Trabajador del hogar (006)",200,15,124,39,20,2
"Desocupado (008)",632,57,286,150,111,28
"Hombres (009)",9064,338,3502,2906,1909,409
"Empleado (010)",443,2,118,231,90,2
"Obrero (011)",1667,55,899,417,248,48
"Trabajador independiente (012)",5010,2,1356,1944,1393,315
"Empleador o patrono (013)",106,,23,47,32,4
"Trabajador familiar no remunerado (014)",1241,238,833,117,39,14
"Trabajador del hogar (015)",119,6,73,26,13,1
"Desocupado (017)",478,35,200,124,94,25
"Mujeres (018)",2156,164,813,728,386,65
"Empleado (019)",291,2,121,138,30,
"Obrero (020)",228,12,78,87,47,4
"Trabajador independiente (021)",689,4,193,272,181,39
"Empleador o patrono (022)",12,1,5,3,2,1
"Trabajador familiar no remunerado (023)",701,114,279,189,102,17
"Trabajador del hogar (024)",81,9,51,13,7,1
"Desocupado (026)",154,22,86,26,17,3
,,,,,,
"URBANA (027)",2336,36,788,875,535,102
"Empleado (028)",429,3,145,202,78,1
"Obrero (029)",471,7,217,137,91,19
"Trabajador independiente (030)",979,2,220,414,278,65
"Empleador o patrono (031)",35,1,8,14,10,2
"Trabajador familiar no remunerado (032)",171,13,92,35,24,7
"Trabajador del hogar (033)",50,7,24,12,7,
"Desocupado (035)",201,3,82,61,47,8
"Hombres (036)",1690,19,563,622,396,90
"Empleado (037)",273,2,77,134,59,1
"Obrero (038)",422,7,204,117,77,17
"Trabajador independiente (039)",697,,155,287,196,59
"Empleador o patrono (040)",31,,6,13,10,2
"Trabajador familiar no remunerado (041)",86,6,56,11,9,4
"Trabajador del hogar (042)",17,1,7,5,4,
"Desocupado (044)",164,3,58,55,41,7
"Mujeres (045)",646,17,225,253,139,12
"Empleado (046)",156,1,68,68,19,
"Obrero (047)",49,,13,20,14,2
"Trabajador independiente (048)",282,2,65,127,82,6
"Empleador o patrono (049)",4,1,2,1,,
"Trabajador familiar no remunerado (050)",85,7,36,24,15,3
"Trabajador del hogar (051)",33,6,17,7,3,
"Desocupado (053)",37,,24,6,6,1
,,,,,,
"RURAL (054)",8884,466,3527,2759,1760,372
"Empleado (055)",305,1,94,167,42,1
"Obrero (056)",1424,60,760,367,204,33
"Trabajador independiente (057)",4720,4,1329,1802,1296,289
"Empleador o patrono (058)",83,,20,36,24,3
"Trabajador familiar no remunerado (059)",1771,339,1020,271,117,24
"Trabajador del hogar (060)",150,8,100,27,13,2
"Desocupado (062)",431,54,204,89,64,20
"Hombres (063)",7374,319,2939,2284,1513,319
"Empleado (064)",170,,41,97,31,1
"Obrero (065)",1245,48,695,300,171,31
"Trabajador independiente (066)",4313,2,1201,1657,1197,256
"Empleador o patrono (067)",75,,17,34,22,2
"Trabajador familiar no remunerado (068)",1155,232,777,106,30,10
"Trabajador del hogar (069)",102,5,66,21,9,1
"Desocupado (071)",314,32,142,69,53,18
"Mujeres (072)",1510,147,588,475,247,53
"Empleado (073)",135,1,53,70,11,
"Obrero (074)",179,12,65,67,33,2
"Trabajador independiente (075)",407,2,128,145,99,33
"Empleador o patrono (076)",8,,3,2,2,1
"Trabajador familiar no remunerado (077)",616,107,243,165,87,14
"Trabajador del hogar (078)",48,3,34,6,4,1
"Desocupado (080)",117,22,62,20,11,2
