"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN MARCOS (000)",47838,10105,1002,25980,7700,646,1197,400,808
"Quechua (001)",28,2,2,14,6,2,,1,1
"Aymara (002)",10,4,1,5,,,,,
"Ashaninca (003)",7,1,2,3,1,,,,
"Otra lengua nativa (004)",114,20,3,52,25,5,6,2,1
"Castellano (005)",47530,9957,992,25886,7666,639,1190,397,803
"Idioma extranjero (006)",3,,,,,,,,3
"Es sordomudo/a (007)",146,121,2,20,2,,1,,
"Hombres (009)",23995,3556,486,13651,4557,387,659,226,473
"Quechua (010)",13,1,1,6,3,,,1,1
"Aymara (011)",3,,,3,,,,,
"Ashaninca (012)",4,,1,2,1,,,,
"Otra lengua nativa (013)",60,6,3,27,16,3,3,1,1
"Castellano (014)",23837,3487,481,13600,4535,384,656,224,470
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",77,62,,13,2,,,,
"Mujeres (018)",23843,6549,516,12329,3143,259,538,174,335
"Quechua (019)",15,1,1,8,3,2,,,
"Aymara (020)",7,4,1,2,,,,,
"Ashaninca (021)",3,1,1,1,,,,,
"Otra lengua nativa (022)",54,14,,25,9,2,3,1,
"Castellano (023)",23693,6470,511,12286,3131,255,534,173,333
"Idioma extranjero (024)",2,,,,,,,,2
"Es sordomudo/a (025)",69,59,2,7,,,1,,
,,,,,,,,,
"URBANA (027)",11017,1296,240,4069,2946,488,949,318,711
"Quechua (028)",11,,,3,5,1,,1,1
"Aymara (029)",1,,,1,,,,,
"Otra lengua nativa (031)",114,20,3,52,25,5,6,2,1
"Castellano (032)",10863,1257,236,4010,2914,482,943,315,706
"Idioma extranjero (033)",3,,,,,,,,3
"Es sordomudo/a (034)",25,19,1,3,2,,,,
"Hombres (036)",5568,469,117,2008,1592,281,511,172,418
"Quechua (037)",5,,,1,2,,,1,1
"Aymara (038)",1,,,1,,,,,
"Otra lengua nativa (040)",60,6,3,27,16,3,3,1,1
"Castellano (041)",5487,453,114,1977,1572,278,508,170,415
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",14,10,,2,2,,,,
"Mujeres (045)",5449,827,123,2061,1354,207,438,146,293
"Quechua (046)",6,,,2,3,1,,,
"Otra lengua nativa (049)",54,14,,25,9,2,3,1,
"Castellano (050)",5376,804,122,2033,1342,204,435,145,291
"Idioma extranjero (051)",2,,,,,,,,2
"Es sordomudo/a (052)",11,9,1,1,,,,,
,,,,,,,,,
"RURAL (054)",36821,8809,762,21911,4754,158,248,82,97
"Quechua (055)",17,2,2,11,1,1,,,
"Aymara (056)",9,4,1,4,,,,,
"Ashaninca (057)",7,1,2,3,1,,,,
"Castellano (059)",36667,8700,756,21876,4752,157,247,82,97
"Es sordomudo/a (061)",121,102,1,17,,,1,,
"Hombres (063)",18427,3087,369,11643,2965,106,148,54,55
"Quechua (064)",8,1,1,5,1,,,,
"Aymara (065)",2,,,2,,,,,
"Ashaninca (066)",4,,1,2,1,,,,
"Castellano (068)",18350,3034,367,11623,2963,106,148,54,55
"Es sordomudo/a (070)",63,52,,11,,,,,
"Mujeres (072)",18394,5722,393,10268,1789,52,100,28,42
"Quechua (073)",9,1,1,6,,1,,,
"Aymara (074)",7,4,1,2,,,,,
"Ashaninca (075)",3,1,1,1,,,,,
"Castellano (077)",18317,5666,389,10253,1789,51,99,28,42
"Es sordomudo/a (079)",58,50,1,6,,,1,,
