"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ABANCAY (000)",24837,564,10348,7167,2606,906,376,110,13,,2747
"Conviviente (001)",7624,168,3281,2412,755,237,65,11,1,,694
"Separado(a) (002)",1436,42,591,440,187,62,31,8,2,,73
"Casado(a) (003)",10925,237,4923,3197,1269,426,186,50,8,,629
"Viudo(a) (004)",2501,93,1123,679,192,97,53,33,2,,229
"Divorciado(a) (005)",213,7,76,62,22,16,8,1,,,21
"Soltero(a) (006)",2138,17,354,377,181,68,33,7,,,1101
,,,,,,,,,,,
"URBANA (008)",15536,285,5443,4716,2033,706,292,77,7,,1977
"Conviviente (009)",4925,83,1841,1679,609,182,53,8,,,470
"Separado(a) (010)",1101,37,428,332,165,48,28,7,1,,55
"Casado(a) (011)",6200,99,2263,1971,965,335,142,37,5,,383
"Viudo(a) (012)",1322,48,562,360,112,66,35,19,1,,119
"Divorciado(a) (013)",167,5,57,55,19,14,6,1,,,10
"Soltero(a) (014)",1821,13,292,319,163,61,28,5,,,940
,,,,,,,,,,,
"RURAL (016)",9301,279,4905,2451,573,200,84,33,6,,770
"Conviviente (017)",2699,85,1440,733,146,55,12,3,1,,224
"Separado(a) (018)",335,5,163,108,22,14,3,1,1,,18
"Casado(a) (019)",4725,138,2660,1226,304,91,44,13,3,,246
"Viudo(a) (020)",1179,45,561,319,80,31,18,14,1,,110
"Divorciado(a) (021)",46,2,19,7,3,2,2,,,,11
"Soltero(a) (022)",317,4,62,58,18,7,5,2,,,161
