"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO",,,,,,,,,
"Hogares (001)",7847,201,101,58,37,27,22,10,7391
"Ocupantes presentes (002)",24250,467,248,166,128,122,99,40,22980
"Casa independiente",,,,,,,,,
"Hogares (004)",7386,188,92,53,37,25,21,10,6960
"Ocupantes presentes (005)",23199,446,227,151,128,112,93,40,22002
"Departamento en edificio",,,,,,,,,
"Hogares (007)",3,,,,,,,,3
"Ocupantes presentes (008)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",6,1,,,,,,,5
"Ocupantes presentes (011)",7,1,,,,,,,6
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",126,5,5,2,,1,1,,112
"Ocupantes presentes (014)",332,8,10,6,,5,6,,297
"Choza o cabaña",,,,,,,,,
"Hogares (016)",308,7,4,1,,1,,,295
"Ocupantes presentes (017)",675,12,11,3,,5,,,644
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,,1,,,,,1
"Ocupantes presentes (020)",4,,,3,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",10,,,1,,,,,9
"Ocupantes presentes (023)",17,,,3,,,,,14
"Otro tipo",,,,,,,,,
"Hogares (025)",6,,,,,,,,6
"Ocupantes presentes (026)",11,,,,,,,,11
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3358,106,52,30,22,11,10,2,3125
"Ocupantes presentes (029)",10714,266,122,79,75,45,41,4,10082
"Casa independiente",,,,,,,,,
"Hogares (031)",3211,100,47,27,22,10,9,2,2994
"Ocupantes presentes (032)",10349,257,112,70,75,40,35,4,9756
"Departamento en edificio",,,,,,,,,
"Hogares (034)",3,,,,,,,,3
"Ocupantes presentes (035)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",6,1,,,,,,,5
"Ocupantes presentes (038)",7,1,,,,,,,6
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",126,5,5,2,,1,1,,112
"Ocupantes presentes (041)",332,8,10,6,,5,6,,297
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,,1,,,,,1
"Ocupantes presentes (047)",4,,,3,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,,,,,,,6
"Ocupantes presentes (050)",8,,,,,,,,8
"Otro tipo",,,,,,,,,
"Hogares (052)",4,,,,,,,,4
"Ocupantes presentes (053)",9,,,,,,,,9
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4489,95,49,28,15,16,12,8,4266
"Ocupantes presentes (056)",13536,201,126,87,53,77,58,36,12898
"Casa independiente",,,,,,,,,
"Hogares (058)",4175,88,45,26,15,15,12,8,3966
"Ocupantes presentes (059)",12850,189,115,81,53,72,58,36,12246
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",308,7,4,1,,1,,,295
"Ocupantes presentes (071)",675,12,11,3,,5,,,644
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",4,,,1,,,,,3
"Ocupantes presentes (077)",9,,,3,,,,,6
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",2,,,,,,,,2
