"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARMEY (000)",10485,7213,990,889,1393
"Hombres (001)",7547,5166,724,672,985
"Mujeres (002)",2938,2047,266,217,408
"De 06 a 14 años (003)",113,93,13,2,5
"Hombres (004)",77,63,9,,5
"Mujeres (005)",36,30,4,2,
"De 15 a 29 años (006)",3256,2166,360,271,459
"Hombres (007)",2397,1591,262,220,324
"Mujeres (008)",859,575,98,51,135
"De 30 a 44 años (009)",3917,2527,384,402,604
"Hombres (010)",2708,1722,289,284,413
"Mujeres (011)",1209,805,95,118,191
"De 45 a 64 años (012)",2519,1813,202,199,305
"Hombres (013)",1833,1314,138,156,225
"Mujeres (014)",686,499,64,43,80
"De 65 y más años (015)",680,614,31,15,20
"Hombres (016)",532,476,26,12,18
"Mujeres (017)",148,138,5,3,2
,,,,,
"URBANA (018)",7999,5177,775,777,1270
"Hombres (019)",5449,3444,543,579,883
"Mujeres (020)",2550,1733,232,198,387
"De 06 a 14 años (021)",83,69,9,1,4
"Hombres (022)",56,46,6,,4
"Mujeres (023)",27,23,3,1,
"De 15 a 29 años (024)",2397,1504,251,229,413
"Hombres (025)",1667,1031,168,183,285
"Mujeres (026)",730,473,83,46,128
"De 30 a 44 años (027)",3132,1905,317,353,557
"Hombres (028)",2066,1206,236,247,377
"Mujeres (029)",1066,699,81,106,180
"De 45 a 64 años (030)",1918,1284,175,182,277
"Hombres (031)",1315,861,114,140,200
"Mujeres (032)",603,423,61,42,77
"De 65 y más años (033)",469,415,23,12,19
"Hombres (034)",345,300,19,9,17
"Mujeres (035)",124,115,4,3,2
,,,,,
"RURAL (036)",2486,2036,215,112,123
"Hombres (037)",2098,1722,181,93,102
"Mujeres (038)",388,314,34,19,21
"De 06 a 14 años (039)",30,24,4,1,1
"Hombres (040)",21,17,3,,1
"Mujeres (041)",9,7,1,1,
"De 15 a 29 años (042)",859,662,109,42,46
"Hombres (043)",730,560,94,37,39
"Mujeres (044)",129,102,15,5,7
"De 30 a 44 años (045)",785,622,67,49,47
"Hombres (046)",642,516,53,37,36
"Mujeres (047)",143,106,14,12,11
"De 45 a 64 años (048)",601,529,27,17,28
"Hombres (049)",518,453,24,16,25
"Mujeres (050)",83,76,3,1,3
"De 65 y más años (051)",211,199,8,3,1
"Hombres (052)",187,176,7,3,1
"Mujeres (053)",24,23,1,,
