"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AYMARAES (000)",10586,41285,35235,,489,85.3,1.2
"De 12 a 14 años (001)",1093,10,10,,1,100,10
"De 15 a 19 años (002)",1134,196,195,44,99.5,22.4,
"De 20 a 24 años (003)",789,884,859,104,97.2,11.8,
"De 25 a 29 años (004)",867,1748,1702,125,97.4,7.2,
"De 30 a 34 años (005)",878,2783,2642,97,94.9,3.5,
"De 35 a 39 años (006)",774,3321,3092,64,93.1,1.9,
"De 40 a 44 años (007)",773,3989,3654,40,91.6,1,
"De 45 a 49 años (008)",646,3847,3455,14,89.8,0.4,
"De 50 y más años (009)",3632,24507,19626,,80.1,,
"PEA (010)",2258,8509,7626,102,89.6,1.2,
"De 12 a 14 años (011)",27,,,,,,
"De 15 a 19 años (012)",108,39,39,7,100,17.9,
"De 20 a 24 años (013)",212,203,199,27,98,13.3,
"De 25 a 29 años (014)",275,420,415,18,98.8,4.3,
"De 30 a 34 años (015)",281,679,656,20,96.6,2.9,
"De 35 a 39 años (016)",257,910,867,13,95.3,1.4,
"De 40 a 44 años (017)",253,1141,1053,14,92.3,1.2,
"De 45 a 49 años (018)",193,1007,932,3,92.6,0.3,
"De 50 y más años (019)",652,4110,3465,,84.3,,
"Ocupada (020)",2197,8365,7506,97,89.7,1.2,
"De 12 a 14 años (021)",23,,,,,,
"De 15 a 19 años (022)",97,36,36,6,100,16.7,
"De 20 a 24 años (023)",197,193,189,24,97.9,12.4,
"De 25 a 29 años (024)",272,416,411,18,98.8,4.3,
"De 30 a 34 años (025)",274,663,640,19,96.5,2.9,
"De 35 a 39 años (026)",254,906,863,13,95.3,1.4,
"De 40 a 44 años (027)",248,1116,1029,14,92.2,1.3,
"De 45 a 49 años (028)",189,974,904,3,92.8,0.3,
"De 50 y más años (029)",643,4061,3434,,84.6,,
"Desocupada (030)",61,144,120,5,83.3,3.5,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",11,3,3,1,100,33.3,
"De 20 a 24 años (033)",15,10,10,3,100,30,
"De 25 a 29 años (034)",3,4,4,,100,,
"De 30 a 34 años (035)",7,16,16,1,100,6.3,
"De 35 a 39 años (036)",3,4,4,,100,,
"De 40 a 44 años (037)",5,25,24,,96,,
