"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia YAROWILCA (000)",12318,11382,8160,1578,1644,936,9,150,702,75
"Casa independiente (001)",11909,11051,8045,1527,1479,858,9,150,653,46
"Vivienda en casa de vecindad (004)",8,3,3,,,5,,,5,
"Choza o cabaña (005)",391,319,110,46,163,72,,,43,29
"Vivienda improvisada (006)",8,7,,5,2,1,,,1,
"Local no dest.para hab. humana (007)",2,2,2,,,,,,,
,,,,,,,,,,
"URBANA (009)",2557,2396,1995,270,131,161,2,38,101,20
"Casa independiente (010)",2539,2384,1990,265,129,155,2,38,95,20
"Vivienda en casa de vecindad (013)",8,3,3,,,5,,,5,
"Vivienda improvisada (015)",8,7,,5,2,1,,,1,
"Local no dest.para hab. humana (016)",2,2,2,,,,,,,
,,,,,,,,,,
"RURAL (018)",9761,8986,6165,1308,1513,775,7,112,601,55
"Casa independiente (019)",9370,8667,6055,1262,1350,703,7,112,558,26
"Choza o cabaña (023)",391,319,110,46,163,72,,,43,29
