"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARAL (000)",46317,500,15584,14743,5689,2217,933,253,47,,6351
"Sin Nivel (001)",5076,131,2080,1482,432,186,101,57,11,,596
"Educación Inicial (002)",61,,23,18,4,,,,,,16
"Primaria (003)",14311,223,6225,4383,1295,535,283,93,16,,1258
"Secundaria (004)",16946,118,5864,5845,1951,641,247,51,9,,2220
"Sup. no Univ. Incompleta (005)",2107,6,444,737,327,90,37,2,3,,461
"Sup. no Univ. Completa (006)",3200,13,393,1035,703,281,94,19,5,,657
"Sup. Univ. Incompleta (007)",1545,2,247,482,239,105,37,5,1,,427
"Sup. Univ. Completa (008)",3071,7,308,761,738,379,134,26,2,,716
,,,,,,,,,,,
"URBANA (010)",39140,402,12752,12454,4888,1924,843,222,42,,5613
"Sin Nivel (011)",3502,94,1352,1023,282,142,82,46,11,,470
"Educación Inicial (012)",49,,14,16,3,,,,,,16
"Primaria (013)",11744,180,5061,3585,1070,441,253,84,14,,1056
"Secundaria (014)",14882,103,5114,5125,1714,567,226,45,8,,1980
"Sup. no Univ. Incompleta (015)",1874,6,378,654,301,79,35,2,2,,417
"Sup. no Univ. Completa (016)",2860,12,338,932,619,248,86,18,4,,603
"Sup. Univ. Incompleta (017)",1381,2,220,416,215,93,35,5,1,,394
"Sup. Univ. Completa (018)",2848,5,275,703,684,354,126,22,2,,677
,,,,,,,,,,,
"RURAL (020)",7177,98,2832,2289,801,293,90,31,5,,738
"Sin Nivel (021)",1574,37,728,459,150,44,19,11,,,126
"Educación Inicial (022)",12,,9,2,1,,,,,,
"Primaria (023)",2567,43,1164,798,225,94,30,9,2,,202
"Secundaria (024)",2064,15,750,720,237,74,21,6,1,,240
"Sup. no Univ. Incompleta (025)",233,,66,83,26,11,2,,1,,44
"Sup. no Univ. Completa (026)",340,1,55,103,84,33,8,1,1,,54
"Sup. Univ. Incompleta (027)",164,,27,66,24,12,2,,,,33
"Sup. Univ. Completa (028)",223,2,33,58,54,25,8,4,,,39
