"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia SAN ANTONIO DE PUTINA",,,,,,,
"Viviendas particulares (001)",15253,353,297,170,1014,754,12665
"Ocupantes presentes (002)",50282,1285,1119,563,3739,3292,40284
"Casa independiente",,,,,,,
"Viviendas particulares (004)",11120,326,256,117,656,661,9104
"Ocupantes presentes (005)",37374,1196,988,379,2385,3062,29364
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",18,11,7,,,,
"Ocupantes presentes (008)",59,35,24,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",24,7,1,,,,16
"Ocupantes presentes (011)",87,23,4,,,,60
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",344,1,28,,,,315
"Ocupantes presentes (014)",920,10,95,,,,815
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2780,1,,50,356,88,2285
"Ocupantes presentes (017)",9480,1,,174,1351,223,7731
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",590,4,4,3,,2,577
"Ocupantes presentes (020)",1502,14,7,10,,4,1467
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",20,3,1,,1,1,14
"Ocupantes presentes (023)",52,6,1,,1,1,43
"Otro tipo",,,,,,,
"Viviendas particulares (025)",357,,,,1,2,354
"Ocupantes presentes (026)",808,,,,2,2,804
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",10003,352,295,73,152,571,8560
"Ocupantes presentes (029)",33473,1284,1109,243,625,2764,27448
"Casa independiente",,,,,,,
"Viviendas particulares (031)",8680,326,254,70,152,566,7312
"Ocupantes presentes (032)",30120,1196,978,233,625,2757,24331
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",18,11,7,,,,
"Ocupantes presentes (035)",59,35,24,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",24,7,1,,,,16
"Ocupantes presentes (038)",87,23,4,,,,60
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",344,1,28,,,,315
"Ocupantes presentes (041)",920,10,95,,,,815
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",590,4,4,3,,2,577
"Ocupantes presentes (047)",1502,14,7,10,,4,1467
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",16,3,1,,,1,11
"Ocupantes presentes (050)",42,6,1,,,1,34
"Otro tipo",,,,,,,
"Viviendas particulares (052)",331,,,,,2,329
"Ocupantes presentes (053)",743,,,,,2,741
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5250,1,2,97,862,183,4105
"Ocupantes presentes (056)",16809,1,10,320,3114,528,12836
"Casa independiente",,,,,,,
"Viviendas particulares (058)",2440,,2,47,504,95,1792
"Ocupantes presentes (059)",7254,,10,146,1760,305,5033
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2780,1,,50,356,88,2285
"Ocupantes presentes (071)",9480,1,,174,1351,223,7731
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",4,,,,1,,3
"Ocupantes presentes (077)",10,,,,1,,9
"Otro tipo",,,,,,,
"Viviendas particulares (079)",26,,,,1,,25
"Ocupantes presentes (080)",65,,,,2,,63
