"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AREQUIPA (000)",244803,225535,1097,57396,65502,42672,38089,14454,4966,1359,19268,631134
"De 12 a 14 años (001)",190,92,11,74,7,,,,,,98,88
"De 15 a 19 años (002)",2887,2514,64,2210,179,39,22,,,,373,2773
"De 20 a 24 años (003)",19305,13236,132,9970,2650,376,74,34,,,6069,16926
"De 25 a 29 años (004)",28626,23038,132,12579,7822,1988,472,36,9,,5588,36460
"De 30 a 34 años (005)",31714,29012,128,10298,11980,4746,1695,142,17,6,2702,56743
"De 35 a 39 años (006)",30530,29225,104,6700,11973,6600,3368,414,56,10,1305,67961
"De 40 a 44 años (007)",27687,26782,97,4324,9712,6980,4547,915,172,35,905,71890
"De 45 a 49 años (008)",23528,22925,83,3185,7185,5853,4921,1324,306,68,603,68062
"De 50 y más años (009)",80336,78711,346,8056,13994,16090,22990,11589,4406,1240,1625,310231
"Sin nivel (010)",20690,20217,82,1730,2860,3229,6032,4178,1670,436,473,89512
"De 12 a 14 años (011)",5,4,1,3,,,,,,,1,3
"De 15 a 19 años (012)",27,24,,15,4,2,3,,,,3,41
"De 20 a 24 años (013)",159,121,1,70,32,12,5,1,,,38,199
"De 25 a 29 años (014)",229,170,2,64,53,36,12,3,,,59,346
"De 30 a 34 años (015)",1247,1181,3,238,477,286,152,20,5,,66,2862
"De 35 a 39 años (016)",1361,1315,4,166,414,350,312,60,7,2,46,3857
"De 40 a 44 años (017)",1439,1394,4,98,301,352,462,143,28,6,45,4998
"De 45 a 49 años (018)",1465,1431,3,107,218,277,481,246,85,14,34,5917
"De 50 y más años (019)",14758,14577,64,969,1361,1914,4605,3705,1545,414,181,71289
