"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAHUAMANU (000)",5684,61,1991,2215,1216,201
"Agric., ganadería, caza y silvicultura (001)",1602,30,485,501,438,148
"Pesca (002)",13,,7,4,2,
"Explotación de minas y canteras (003)",341,,97,169,74,1
"Industrias manufactureras (004)",266,1,103,101,51,10
"Suministro de electricidad, gas y agua (005)",11,,9,2,,
"Construcción (006)",1595,3,611,696,272,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",383,7,118,159,87,12
"Venta, mant.y rep. veh.autom.y motoc. (008)",45,,19,12,12,2
"Comercio al por mayor (009)",33,,7,17,9,
"Comercio al por menor (010)",305,7,92,130,66,10
"Hoteles y restaurantes (011)",279,8,116,95,56,4
"Trans., almac. y comunicaciones (012)",259,1,118,96,42,2
"Intermediación financiera (013)",10,,4,5,1,
"Activid.inmobil., empres. y alquileres (014)",73,,25,33,14,1
"Admin.pub. y defensa; p. segur.soc afil (015)",213,,62,90,57,4
"Enseñanza (016)",191,,27,113,51,
"Servicios sociales y de salud (017)",91,1,20,46,24,
"Otras activ. serv.comun.soc y personales (018)",87,3,36,27,19,2
"Hogares privados con servicio doméstico (019)",47,3,29,11,3,1
"Actividad economica no especificada (021)",80,1,35,28,13,3
"Desocupado (022)",143,3,89,39,12,
"Hombres (023)",4436,37,1494,1731,999,175
"Agric., ganadería, caza y silvicultura (024)",1381,24,426,429,369,133
"Pesca (025)",12,,6,4,2,
"Explotación de minas y canteras (026)",331,,92,165,73,1
"Industrias manufactureras (027)",248,1,98,93,46,10
"Suministro de electricidad, gas y agua (028)",7,,5,2,,
"Construcción (029)",1448,3,519,646,267,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",164,1,43,62,52,6
"Venta, mant.y rep. veh.autom.y motoc. (031)",40,,18,9,11,2
"Comercio al por mayor (032)",19,,2,12,5,
"Comercio al por menor (033)",105,1,23,41,36,4
"Hoteles y restaurantes (034)",62,2,26,20,12,2
"Trans., almac. y comunicaciones (035)",243,1,108,90,42,2
"Intermediación financiera (036)",5,,1,3,1,
"Activid.inmobil., empres. y alquileres (037)",56,,17,25,13,1
"Admin.pub. y defensa; p. segur.soc afil (038)",161,,42,64,51,4
"Enseñanza (039)",105,,14,58,33,
"Servicios sociales y de salud (040)",38,,6,16,16,
"Otras activ. serv.comun.soc y personales (041)",48,2,18,19,7,2
