"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LAMBAYEQUE (000)",54766,27287,27479
"Red pública de desague dentro de la vivienda (001)",16598,15860,738
"Red pública de desague fuera de la vivienda (002)",781,689,92
"Pozo séptico (003)",1684,715,969
"Pozo ciego o negro / letrina (004)",26449,8195,18254
"Río, acequia o canal (005)",402,71,331
"No tiene (006)",8852,1757,7095
,,,
"URBANA (008)",27896,22503,5393
"Red pública de desague dentro de la vivienda (009)",16511,15798,713
"Red pública de desague fuera de la vivienda (010)",742,669,73
"Pozo séptico (011)",834,595,239
"Pozo ciego o negro / letrina (012)",6542,3947,2595
"Río, acequia o canal (013)",107,53,54
"No tiene (014)",3160,1441,1719
,,,
"RURAL (016)",26870,4784,22086
"Red pública de desague dentro de la vivienda (017)",87,62,25
"Red pública de desague fuera de la vivienda (018)",39,20,19
"Pozo séptico (019)",850,120,730
"Pozo ciego o negro / letrina (020)",19907,4248,15659
"Río, acequia o canal (021)",295,18,277
"No tiene (022)",5692,316,5376
