"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",24750,4535,2788,559,16889
"Sin Nivel (001)",2714,841,163,23,1690
"Educación Inicial (002)",586,284,81,14,209
"Primaria (003)",14575,2467,1060,276,10781
"Secundaria (004)",5165,871,659,143,3495
"Sup. no Univ. Incompleta (005)",383,27,101,14,242
"Sup. no Univ. Completa (006)",780,27,436,49,270
"Sup. Univ. Incompleta (007)",164,10,51,13,90
"Sup. Univ. Completa (008)",383,8,237,27,112
"Hombres (010)",13051,2178,1361,300,9228
"Sin Nivel (011)",1184,406,80,10,691
"Educación Inicial (012)",312,159,43,7,104
"Primaria (013)",7640,1180,464,126,5876
"Secundaria (014)",3000,411,330,83,2178
"Sup. no Univ. Incompleta (015)",189,8,49,11,122
"Sup. no Univ. Completa (016)",415,8,233,39,137
"Sup. Univ. Incompleta (017)",86,3,24,9,50
"Sup. Univ. Completa (018)",225,3,138,15,70
"Mujeres (020)",11699,2357,1427,259,7661
"Sin Nivel (021)",1530,435,83,13,999
"Educación Inicial (022)",274,125,38,7,105
"Primaria (023)",6935,1287,596,150,4905
"Secundaria (024)",2165,460,329,60,1317
"Sup. no Univ. Incompleta (025)",194,19,52,3,120
"Sup. no Univ. Completa (026)",365,19,203,10,133
"Sup. Univ. Incompleta (027)",78,7,27,4,40
"Sup. Univ. Completa (028)",158,5,99,12,42
,,,,,
"URBANA (030)",8150,1528,1937,315,4379
"Sin Nivel (031)",585,212,107,9,257
"Educación Inicial (032)",233,100,63,6,64
"Primaria (033)",3821,779,639,128,2280
"Secundaria (034)",2272,387,501,87,1299
"Sup. no Univ. Incompleta (035)",262,19,75,12,156
"Sup. no Univ. Completa (036)",532,15,316,38,165
"Sup. Univ. Incompleta (037)",122,8,36,12,66
"Sup. Univ. Completa (038)",323,8,200,23,92
"Hombres (040)",4122,700,942,171,2315
"Sin Nivel (041)",269,111,58,1,99
"Educación Inicial (042)",124,54,36,3,31
"Primaria (043)",1823,335,275,54,1162
"Secundaria (044)",1257,184,246,54,774
"Sup. no Univ. Incompleta (045)",121,6,35,9,71
"Sup. no Univ. Completa (046)",274,4,162,29,81
"Sup. Univ. Incompleta (047)",65,3,16,8,38
"Sup. Univ. Completa (048)",189,3,114,13,59
"Mujeres (050)",4028,828,995,144,2064
"Sin Nivel (051)",316,101,49,8,158
"Educación Inicial (052)",109,46,27,3,33
"Primaria (053)",1998,444,364,74,1118
"Secundaria (054)",1015,203,255,33,525
"Sup. no Univ. Incompleta (055)",141,13,40,3,85
"Sup. no Univ. Completa (056)",258,11,154,9,84
"Sup. Univ. Incompleta (057)",57,5,20,4,28
"Sup. Univ. Completa (058)",134,5,86,10,33
,,,,,
"RURAL (060)",16600,3007,851,244,12510
"Sin Nivel (061)",2129,629,56,14,1433
"Educación Inicial (062)",353,184,18,8,145
"Primaria (063)",10754,1688,421,148,8501
"Secundaria (064)",2893,484,158,56,2196
"Sup. no Univ. Incompleta (065)",121,8,26,2,86
"Sup. no Univ. Completa (066)",248,12,120,11,105
"Sup. Univ. Incompleta (067)",42,2,15,1,24
"Sup. Univ. Completa (068)",60,,37,4,20
"Hombres (070)",8929,1478,419,129,6913
"Sin Nivel (071)",915,295,22,9,592
"Educación Inicial (072)",188,105,7,4,73
"Primaria (073)",5817,845,189,72,4714
"Secundaria (074)",1743,227,84,29,1404
"Sup. no Univ. Incompleta (075)",68,2,14,2,51
"Sup. no Univ. Completa (076)",141,4,71,10,56
"Sup. Univ. Incompleta (077)",21,,8,1,12
"Sup. Univ. Completa (078)",36,,24,2,11
"Mujeres (080)",7671,1529,432,115,5597
"Sin Nivel (081)",1214,334,34,5,841
"Educación Inicial (082)",165,79,11,4,72
"Primaria (083)",4937,843,232,76,3787
"Secundaria (084)",1150,257,74,27,792
"Sup. no Univ. Incompleta (085)",53,6,12,,35
"Sup. no Univ. Completa (086)",107,8,49,1,49
"Sup. Univ. Incompleta (087)",21,2,7,,12
"Sup. Univ. Completa (088)",24,,13,2,9
