"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHUMBIVILCAS (000)",433,179,254
"De 14 a 29 años (001)",239,130,109
"De 30 a 44 años (002)",130,47,83
"De 45 a 64 años (003)",46,2,44
"De 65 y más años (004)",18,,18
"Hombres (005)",308,128,180
"De 14 a 29 años (006)",157,84,73
"De 30 a 44 años (007)",104,44,60
"De 45 a 64 años (008)",34,,34
"De 65 y más años (009)",13,,13
"Mujeres (010)",125,51,74
"De 14 a 29 años (011)",82,46,36
"De 30 a 44 años (012)",26,3,23
"De 45 a 64 años (013)",12,2,10
"De 65 y más años (014)",5,,5
,,,
"AREA URBANA (015)",252,73,179
"De 14 a 29 años (016)",136,48,88
"De 30 a 44 años (017)",84,23,61
"De 45 a 64 años (018)",22,2,20
"De 65 y más años (019)",10,,10
"Hombres (020)",174,52,122
"De 14 a 29 años (021)",87,30,57
"De 30 a 44 años (022)",69,22,47
"De 45 a 64 años (023)",12,,12
"De 65 y más años (024)",6,,6
"Mujeres (025)",78,21,57
"De 14 a 29 años (026)",49,18,31
"De 30 a 44 años (027)",15,1,14
"De 45 a 64 años (028)",10,2,8
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",181,106,75
"De 14 a 29 años (031)",103,82,21
"De 30 a 44 años (032)",46,24,22
"De 45 a 64 años (033)",24,,24
"De 65 y más años (034)",8,,8
"Hombres (035)",134,76,58
"De 14 a 29 años (036)",70,54,16
"De 30 a 44 años (037)",35,22,13
"De 45 a 64 años (038)",22,,22
"De 65 y más años (039)",7,,7
"Mujeres (040)",47,30,17
"De 14 a 29 años (041)",33,28,5
"De 30 a 44 años (042)",11,2,9
"De 45 a 64 años (043)",2,,2
"De 65 y más años (044)",1,,1
