"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANTABAMBA (000)",12064,265,4208,2251,2027,1964,1349
"Casa independiente (001)",11220,248,3940,2102,1873,1819,1238
"Vivienda en casa de vecindad (004)",140,3,50,37,22,13,15
"Choza o cabaña (005)",699,14,218,111,128,132,96
"Local no destinado para hab.humana (007)",5,,,1,4,,
,,,,,,,
"URBANA (009)",8488,172,3042,1647,1409,1337,881
"Casa independiente (010)",8343,169,2992,1609,1383,1324,866
"Vivienda en casa de vecindad (013)",140,3,50,37,22,13,15
"Local no destinado para hab.humana (016)",5,,,1,4,,
,,,,,,,
"RURAL (018)",3576,93,1166,604,618,627,468
"Casa independiente (019)",2877,79,948,493,490,495,372
"Choza o cabaña (023)",699,14,218,111,128,132,96
