"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia CANAS",,,,,,,,
"Viviendas particulares (001)",10007,9500,217,6,63,202,17,2
"Ocupantes presentes (002)",38138,36441,714,18,197,698,68,2
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",8784,8377,178,5,48,158,17,1
"Ocupantes presentes (005)",33831,32383,609,13,155,602,68,1
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",3,,3,,,,,
"Ocupantes presentes (011)",7,,7,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",200,110,31,1,14,43,,1
"Ocupantes presentes (014)",548,332,78,5,41,91,,1
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",1017,1013,3,,,1,,
"Ocupantes presentes (017)",3744,3726,13,,,5,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",1,,1,,,,,
"Ocupantes presentes (020)",1,,1,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",2,,1,,1,,,
"Ocupantes presentes (023)",7,,6,,1,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",1751,1369,161,4,56,159,,2
"Ocupantes presentes (029)",6001,4802,507,13,169,508,,2
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",1545,1259,125,3,41,116,,1
"Ocupantes presentes (032)",5438,4470,415,8,127,417,,1
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",3,,3,,,,,
"Ocupantes presentes (038)",7,,7,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",200,110,31,1,14,43,,1
"Ocupantes presentes (041)",548,332,78,5,41,91,,1
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",1,,1,,,,,
"Ocupantes presentes (047)",1,,1,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",2,,1,,1,,,
"Ocupantes presentes (050)",7,,6,,1,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",8256,8131,56,2,7,43,17,
"Ocupantes presentes (056)",32137,31639,207,5,28,190,68,
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",7239,7118,53,2,7,42,17,
"Ocupantes presentes (059)",28393,27913,194,5,28,185,68,
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",1017,1013,3,,,1,,
"Ocupantes presentes (071)",3744,3726,13,,,5,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
