"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SUCRE (000)",3714,2801,482,222,209
"Agric., ganadería, caza y silvicultura (001)",2166,1978,170,16,2
"Explotación de minas y canteras (003)",51,24,13,14,
"Industrias manufactureras (004)",68,59,8,1,
"Suministro de electricidad, gas y agua (005)",12,1,5,6,
"Construcción (006)",120,84,30,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",242,233,9,,
"Venta, mant.y rep. veh.autom y motoc. (008)",7,6,1,,
"Comercio al por mayor (009)",9,7,2,,
"Comercio al por menor (010)",226,220,6,,
"Hoteles y restaurantes (011)",47,46,,1,
"Trans., almac. y comunicaciones (012)",38,27,6,1,4
"Intermediación financiera (013)",1,,,,1
"Activid.inmobil., empres. y alquileres (014)",20,7,3,10,
"Admin.pub. y defensa; p. segur soc.afil (015)",153,,,,153
"Enseñanza (016)",506,150,197,150,9
"Servicios sociales y de salud (017)",60,21,2,1,36
"Otras activ. serv.comun.soc y personales (018)",17,14,2,,1
"Hogares privados con servicio doméstico (019)",20,20,,,
"Actividad economica no especificada (021)",193,137,37,16,3
"Hombres (022)",2581,1914,348,168,151
"Agric., ganadería, caza y silvicultura (023)",1602,1462,126,12,2
"Explotación de minas y canteras (025)",51,24,13,14,
"Industrias manufactureras (026)",55,49,6,,
"Suministro de electricidad, gas y agua (027)",11,1,5,5,
"Construcción (028)",118,83,29,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",82,76,6,,
"Venta, mant.y rep. veh.autom y motoc. (030)",5,4,1,,
"Comercio al por mayor (031)",6,4,2,,
"Comercio al por menor (032)",71,68,3,,
"Hoteles y restaurantes (033)",8,7,,1,
"Trans., almac. y comunicaciones (034)",36,26,6,1,3
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",15,3,2,10,
"Admin.pub. y defensa; p. segur soc.afil (037)",119,,,,119
"Enseñanza (038)",303,69,124,104,6
"Servicios sociales y de salud (039)",35,13,2,1,19
"Otras activ. serv.comun.soc y personales (040)",13,11,2,,
"Actividad economica no especificada (043)",132,90,27,14,1
"Mujeres (044)",1133,887,134,54,58
"Agric., ganadería, caza y silvicultura (045)",564,516,44,4,
"Industrias manufactureras (048)",13,10,2,1,
"Suministro de electricidad, gas y agua (049)",1,,,1,
