"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AYABACA (000)",137605,3389,53104,31521,21843,18316,9432
"Casa independiente (001)",135027,3318,52099,30950,21425,17987,9248
"Departamento en edificio (002)",4,,1,1,2,,
"Vivienda en quinta (003)",76,2,25,23,17,8,1
"Vivienda en casa de vecindad (004)",79,,26,21,20,10,2
"Choza o cabaña (005)",2342,66,932,507,363,295,179
"Vivienda improvisada (006)",10,1,2,1,3,3,
"Local no destinado para hab.humana (007)",59,2,16,16,10,13,2
"Otro tipo (008)",8,,3,2,3,,
,,,,,,,
"URBANA (009)",15093,289,4519,3823,2992,2343,1127
"Casa independiente (010)",14916,286,4462,3775,2947,2322,1124
"Departamento en edificio (011)",4,,1,1,2,,
"Vivienda en quinta (012)",76,2,25,23,17,8,1
"Vivienda en casa de vecindad (013)",79,,26,21,20,10,2
"Vivienda improvisada (015)",10,1,2,1,3,3,
"Otro tipo (017)",8,,3,2,3,,
,,,,,,,
"RURAL (018)",122512,3100,48585,27698,18851,15973,8305
"Casa independiente (019)",120111,3032,47637,27175,18478,15665,8124
"Choza o cabaña (023)",2342,66,932,507,363,295,179
"Local no destinado para hab.humana (025)",59,2,16,16,10,13,2
