"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SUCRE (000)",10941,5970,1546,132,3301
"Hombres (001)",5394,2840,772,71,1716
"Mujeres (002)",5547,3130,774,61,1585
"PEA (003)",3783,1624,712,55,1398
"Hombres (004)",2636,1145,441,44,1011
"Mujeres (005)",1147,479,271,11,387
"Ocupada (006)",3714,1593,708,54,1365
"Hombres (007)",2581,1118,439,43,986
"Mujeres (008)",1133,475,269,11,379
"Desocupada (009)",69,31,4,1,33
"Hombres (010)",55,27,2,1,25
"Mujeres (011)",14,4,2,,8
"No PEA (012)",7158,4346,834,77,1903
"Hombres (013)",2758,1695,331,27,705
"Mujeres (014)",4400,2651,503,50,1198
,,,,,
"URBANA (018)",6669,3211,1271,62,2131
"Hombres (019)",3261,1514,633,35,1083
"Mujeres (020)",3408,1697,638,27,1048
"PEA (021)",2460,885,614,38,928
"Hombres (022)",1596,573,367,27,633
"Mujeres (023)",864,312,247,11,295
"Ocupada (024)",2428,874,610,38,911
"Hombres (025)",1574,563,365,27,623
"Mujeres (026)",854,311,245,11,288
"Desocupada (027)",32,11,4,,17
"Hombres (028)",22,10,2,,10
"Mujeres (029)",10,1,2,,7
"No PEA (030)",4209,2326,657,24,1203
"Hombres (031)",1665,941,266,8,450
"Mujeres (032)",2544,1385,391,16,753
,,,,,
"RURAL (036)",4272,2759,275,70,1170
"Hombres (037)",2133,1326,139,36,633
"Mujeres (038)",2139,1433,136,34,537
"PEA (039)",1323,739,98,17,470
"Hombres (040)",1040,572,74,17,378
"Mujeres (041)",283,167,24,,92
"Ocupada (042)",1286,719,98,16,454
"Hombres (043)",1007,555,74,16,363
"Mujeres (044)",279,164,24,,91
"Desocupada (045)",37,20,,1,16
"Hombres (046)",33,17,,1,15
"Mujeres (047)",4,3,,,1
"No PEA (048)",2949,2020,177,53,700
"Hombres (049)",1093,754,65,19,255
"Mujeres (050)",1856,1266,112,34,445
