"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia COTABAMBAS (000)",45771,1085,18491,9222,7731,6109,3133
"Hombres (001)",23126,523,9401,4710,3928,3062,1502
"Mujeres (002)",22645,562,9090,4512,3803,3047,1631
"Viviendas particulares (003)",45009,1081,18379,8960,7426,6037,3126
"Hombres (004)",22616,522,9396,4527,3669,3004,1498
"Mujeres (005)",22393,559,8983,4433,3757,3033,1628
"Viviendas colectivas (006)",718,3,112,240,291,66,6
"Hombres (007)",481,1,5,168,250,53,4
"Mujeres (008)",237,2,107,72,41,13,2
"Otro tipo (009)",44,1,,22,14,6,1
"Hombres (010)",29,,,15,9,5,
"Mujeres (011)",15,1,,7,5,1,1
,,,,,,,
"URBANA (012)",12205,262,4384,2837,2465,1542,715
"Hombres (013)",6212,127,2198,1431,1307,819,330
"Mujeres (014)",5993,135,2186,1406,1158,723,385
"Viviendas particulares (015)",11590,258,4374,2613,2164,1473,708
"Hombres (016)",5705,126,2194,1249,1049,761,326
"Mujeres (017)",5885,132,2180,1364,1115,712,382
"Viviendas colectivas (018)",571,3,10,202,287,63,6
"Hombres (019)",478,1,4,167,249,53,4
"Mujeres (020)",93,2,6,35,38,10,2
"Otro tipo (021)",44,1,,22,14,6,1
"Hombres (022)",29,,,15,9,5,
"Mujeres (023)",15,1,,7,5,1,1
,,,,,,,
"RURAL (024)",33566,823,14107,6385,5266,4567,2418
"Hombres (025)",16914,396,7203,3279,2621,2243,1172
"Mujeres (026)",16652,427,6904,3106,2645,2324,1246
"Viviendas particulares (027)",33419,823,14005,6347,5262,4564,2418
"Hombres (028)",16911,396,7202,3278,2620,2243,1172
"Mujeres (029)",16508,427,6803,3069,2642,2321,1246
"Viviendas colectivas (030)",147,,102,38,4,3,
"Hombres (031)",3,,1,1,1,,
"Mujeres (032)",144,,101,37,3,3,
