"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHOTA",,,,,,,,,
"Viviendas particulares (001)",3001,2005,354,188,202,6,7,10,229
"Ocupantes presentes (002)",12669,8384,1503,780,822,22,36,46,1076
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2969,1980,350,188,201,6,7,10,227
"Ocupantes presentes (005)",12570,8301,1493,780,821,22,36,46,1071
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",11,9,2,,,,,,
"Ocupantes presentes (008)",30,26,4,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",9,7,1,,1,,,,
"Ocupantes presentes (011)",33,30,2,,1,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3,3,,,,,,,
"Ocupantes presentes (014)",11,11,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",7,5,1,,,,,,1
"Ocupantes presentes (017)",21,15,4,,,,,,2
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",1,1,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,,,,,1
"Ocupantes presentes (023)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",665,509,58,59,19,1,3,,16
"Ocupantes presentes (029)",2586,2009,236,196,65,3,12,,65
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",640,489,55,59,18,1,3,,15
"Ocupantes presentes (032)",2508,1941,230,196,64,3,12,,62
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",11,9,2,,,,,,
"Ocupantes presentes (035)",30,26,4,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",9,7,1,,1,,,,
"Ocupantes presentes (038)",33,30,2,,1,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3,3,,,,,,,
"Ocupantes presentes (041)",11,11,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",1,1,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,,,,,,1
"Ocupantes presentes (050)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2336,1496,296,129,183,5,4,10,213
"Ocupantes presentes (056)",10083,6375,1267,584,757,19,24,46,1011
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2329,1491,295,129,183,5,4,10,212
"Ocupantes presentes (059)",10062,6360,1263,584,757,19,24,46,1009
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",7,5,1,,,,,,1
"Ocupantes presentes (071)",21,15,4,,,,,,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
