"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CARAVELI (000)",28097,3433,5629,6625,5136,3229,4045
"Católica (001)",25217,3122,4936,5900,4607,2916,3736
"Cristiana/Evangélica (002)",1504,168,354,348,273,184,177
"Otra (003)",761,84,170,189,144,79,95
"Ninguna (004)",615,59,169,188,112,50,37
"Hombres (006)",16266,1762,3310,3916,3062,1920,2296
"Católica (007)",14578,1601,2916,3469,2730,1738,2124
"Cristiana/Evangélica (008)",856,90,195,209,164,99,99
"Otra (009)",414,39,95,104,82,44,50
"Ninguna (010)",418,32,104,134,86,39,23
"Mujeres (012)",11831,1671,2319,2709,2074,1309,1749
"Católica (013)",10639,1521,2020,2431,1877,1178,1612
"Cristiana/Evangélica (014)",648,78,159,139,109,85,78
"Otra (015)",347,45,75,85,62,35,45
"Ninguna (016)",197,27,65,54,26,11,14
,,,,,,,
"URBANA (018)",17761,2571,3004,3890,3447,2131,2718
"Católica (019)",16152,2354,2682,3511,3142,1950,2513
"Cristiana/Evangélica (020)",830,109,154,184,158,107,118
"Otra (021)",467,66,83,109,98,45,66
"Ninguna (022)",312,42,85,86,49,29,21
"Hombres (024)",9425,1294,1543,2005,1887,1211,1485
"Católica (025)",8581,1190,1401,1796,1709,1110,1375
"Cristiana/Evangélica (026)",419,53,68,96,85,57,60
"Otra (027)",232,31,33,56,56,22,34
"Ninguna (028)",193,20,41,57,37,22,16
"Mujeres (030)",8336,1277,1461,1885,1560,920,1233
"Católica (031)",7571,1164,1281,1715,1433,840,1138
"Cristiana/Evangélica (032)",411,56,86,88,73,50,58
"Otra (033)",235,35,50,53,42,23,32
"Ninguna (034)",119,22,44,29,12,7,5
,,,,,,,
"RURAL (036)",10336,862,2625,2735,1689,1098,1327
"Católica (037)",9065,768,2254,2389,1465,966,1223
"Cristiana/Evangélica (038)",674,59,200,164,115,77,59
"Otra (039)",294,18,87,80,46,34,29
"Ninguna (040)",303,17,84,102,63,21,16
"Hombres (042)",6841,468,1767,1911,1175,709,811
"Católica (043)",5997,411,1515,1673,1021,628,749
"Cristiana/Evangélica (044)",437,37,127,113,79,42,39
"Otra (045)",182,8,62,48,26,22,16
"Ninguna (046)",225,12,63,77,49,17,7
"Mujeres (048)",3495,394,858,824,514,389,516
"Católica (049)",3068,357,739,716,444,338,474
"Cristiana/Evangélica (050)",237,22,73,51,36,35,20
"Otra (051)",112,10,25,32,20,12,13
"Ninguna (052)",78,5,21,25,14,4,9
