"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",52872,1842,20809,14533,8403,5603,1682
"Casa independiente (001)",32623,1120,12744,9031,5372,3376,980
"Departamento en edificio (002)",7,,4,,2,1,
"Vivienda en quinta (003)",386,19,112,111,89,50,5
"Vivienda en casa de vecindad (004)",30,1,11,6,8,3,1
"Choza o cabaña (005)",19681,696,7900,5334,2906,2154,691
"Vivienda improvisada (006)",91,5,30,33,14,6,3
"Local no destinado para hab.humana (007)",47,1,6,17,9,13,1
"Otro tipo (008)",7,,2,1,3,,1
,,,,,,,
"URBANA (009)",15007,477,5622,4203,2678,1592,435
"Casa independiente (010)",14466,451,5459,4044,2561,1526,425
"Departamento en edificio (011)",7,,4,,2,1,
"Vivienda en quinta (012)",386,19,112,111,89,50,5
"Vivienda en casa de vecindad (013)",30,1,11,6,8,3,1
"Vivienda improvisada (015)",91,5,30,33,14,6,3
"Local no destinado para hab.humana (016)",22,1,4,8,3,6,
"Otro tipo (017)",5,,2,1,1,,1
,,,,,,,
"RURAL (018)",37865,1365,15187,10330,5725,4011,1247
"Casa independiente (019)",18157,669,7285,4987,2811,1850,555
"Choza o cabaña (023)",19681,696,7900,5334,2906,2154,691
"Local no destinado para hab.humana (025)",25,,2,9,6,7,1
"Otro tipo (026)",2,,,,2,,
