"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONTUMAZA (000)",8542,8173,38,1642,1727,1317,1851,981,455,162,369,29101
"De 12 a 14 años (001)",8,2,,2,,,,,,,6,2
"De 15 a 19 años (002)",217,194,3,170,20,1,,,,,23,213
"De 20 a 24 años (003)",793,687,4,406,208,53,15,1,,,106,1052
"De 25 a 29 años (004)",886,809,4,316,293,121,72,3,,,77,1587
"De 30 a 34 años (005)",1007,966,2,243,332,198,153,36,2,,41,2402
"De 35 a 39 años (006)",949,917,1,131,261,219,238,59,7,1,32,2776
"De 40 a 44 años (007)",848,827,3,80,183,181,251,90,34,5,21,3011
"De 45 a 49 años (008)",798,780,4,85,146,144,250,113,29,9,18,2970
"De 50 y más años (009)",3036,2991,17,209,284,400,872,679,383,147,45,15088
"PEA (010)",1656,1539,7,388,428,274,292,95,37,18,117,4437
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",21,18,,16,1,1,,,,,3,21
"De 20 a 24 años (013)",113,80,1,59,15,3,2,,,,33,106
"De 25 a 29 años (014)",168,141,,73,41,14,12,1,,,27,252
"De 30 a 34 años (015)",246,225,1,91,78,34,19,2,,,21,442
"De 35 a 39 años (016)",268,256,,48,104,63,37,3,1,,12,630
"De 40 a 44 años (017)",237,232,1,24,81,59,54,12,,1,5,679
"De 45 a 49 años (018)",221,215,1,38,53,43,63,15,2,,6,660
"De 50 y más años (019)",381,372,3,39,55,57,105,62,34,17,9,1647
"Ocupada (020)",1584,1491,7,368,416,267,285,94,36,18,93,4327
"De 15 a 19 años (022)",19,16,,14,1,1,,,,,3,19
"De 20 a 24 años (023)",95,76,1,56,14,3,2,,,,19,101
