"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ACOMAYO (000)",258,74,184
"De 14 a 29 años (001)",115,48,67
"De 30 a 44 años (002)",81,20,61
"De 45 a 64 años (003)",55,6,49
"De 65 y más años (004)",7,,7
"Hombres (005)",199,52,147
"De 14 a 29 años (006)",80,31,49
"De 30 a 44 años (007)",65,15,50
"De 45 a 64 años (008)",47,6,41
"De 65 y más años (009)",7,,7
"Mujeres (010)",59,22,37
"De 14 a 29 años (011)",35,17,18
"De 30 a 44 años (012)",16,5,11
"De 45 a 64 años (013)",8,,8
,,,
"AREA URBANA (015)",157,42,115
"De 14 a 29 años (016)",73,32,41
"De 30 a 44 años (017)",46,8,38
"De 45 a 64 años (018)",33,2,31
"De 65 y más años (019)",5,,5
"Hombres (020)",118,27,91
"De 14 a 29 años (021)",53,21,32
"De 30 a 44 años (022)",33,4,29
"De 45 a 64 años (023)",27,2,25
"De 65 y más años (024)",5,,5
"Mujeres (025)",39,15,24
"De 14 a 29 años (026)",20,11,9
"De 30 a 44 años (027)",13,4,9
"De 45 a 64 años (028)",6,,6
,,,
"AREA RURAL (030)",101,32,69
"De 14 a 29 años (031)",42,16,26
"De 30 a 44 años (032)",35,12,23
"De 45 a 64 años (033)",22,4,18
"De 65 y más años (034)",2,,2
"Hombres (035)",81,25,56
"De 14 a 29 años (036)",27,10,17
"De 30 a 44 años (037)",32,11,21
"De 45 a 64 años (038)",20,4,16
"De 65 y más años (039)",2,,2
"Mujeres (040)",20,7,13
"De 14 a 29 años (041)",15,6,9
"De 30 a 44 años (042)",3,1,2
"De 45 a 64 años (043)",2,,2
