"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BAGUA (000)",17106,426,8134,4509,1398,436,194,62,10,,1937
"Sin Nivel (001)",3154,114,1555,759,252,68,60,20,5,,321
"Educación Inicial (002)",53,2,25,14,2,1,,,,,9
"Primaria (003)",7618,251,4300,1818,412,137,53,22,2,,623
"Secundaria (004)",3935,44,1838,1130,304,71,26,9,2,,511
"Sup. no Univ. Incompleta (005)",589,8,151,212,74,18,3,2,,,121
"Sup. no Univ. Completa (006)",1012,4,159,355,205,77,28,4,1,,179
"Sup. Univ. Incompleta (007)",220,,52,75,26,11,4,1,,,51
"Sup. Univ. Completa (008)",525,3,54,146,123,53,20,4,,,122
,,,,,,,,,,,
"URBANA (010)",8919,171,3479,2609,938,327,139,47,5,,1204
"Sin Nivel (011)",1011,39,433,257,81,31,26,12,,,132
"Educación Inicial (012)",8,,3,3,,,,,,,2
"Primaria (013)",3095,90,1520,833,239,90,34,17,2,,270
"Secundaria (014)",2650,28,1142,795,225,58,25,8,2,,367
"Sup. no Univ. Incompleta (015)",517,7,129,185,66,16,3,2,,,109
"Sup. no Univ. Completa (016)",940,4,151,330,189,70,28,4,1,,163
"Sup. Univ. Incompleta (017)",209,,50,72,23,11,4,1,,,48
"Sup. Univ. Completa (018)",489,3,51,134,115,51,19,3,,,113
,,,,,,,,,,,
"RURAL (020)",8187,255,4655,1900,460,109,55,15,5,,733
"Sin Nivel (021)",2143,75,1122,502,171,37,34,8,5,,189
"Educación Inicial (022)",45,2,22,11,2,1,,,,,7
"Primaria (023)",4523,161,2780,985,173,47,19,5,,,353
"Secundaria (024)",1285,16,696,335,79,13,1,1,,,144
"Sup. no Univ. Incompleta (025)",72,1,22,27,8,2,,,,,12
"Sup. no Univ. Completa (026)",72,,8,25,16,7,,,,,16
"Sup. Univ. Incompleta (027)",11,,2,3,3,,,,,,3
"Sup. Univ. Completa (028)",36,,3,12,8,2,1,1,,,9
