"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MELGAR (000)",19325,128,6447,7255,2244,681,270,100,13,,2187
"Conviviente (001)",6922,48,2434,2682,794,212,68,11,1,,672
"Separado(a) (002)",1367,14,485,511,209,59,16,7,1,,65
"Casado(a) (003)",6985,36,2500,2794,837,252,108,43,6,,409
"Viudo(a) (004)",2255,22,721,887,260,82,49,29,4,,201
"Divorciado(a) (005)",120,,44,31,21,6,1,1,,,16
"Soltero(a) (006)",1676,8,263,350,123,70,28,9,1,,824
,,,,,,,,,,,
"URBANA (008)",9193,52,2948,3356,1141,388,155,56,10,,1087
"Conviviente (009)",3607,24,1189,1431,465,138,28,6,1,,325
"Separado(a) (010)",762,4,272,277,119,33,13,5,1,,38
"Casado(a) (011)",2856,12,994,1088,368,131,63,18,3,,179
"Viudo(a) (012)",1079,10,373,373,117,49,32,23,4,,98
"Divorciado(a) (013)",54,,19,18,10,3,1,1,,,2
"Soltero(a) (014)",835,2,101,169,62,34,18,3,1,,445
,,,,,,,,,,,
"RURAL (016)",10132,76,3499,3899,1103,293,115,44,3,,1100
"Conviviente (017)",3315,24,1245,1251,329,74,40,5,,,347
"Separado(a) (018)",605,10,213,234,90,26,3,2,,,27
"Casado(a) (019)",4129,24,1506,1706,469,121,45,25,3,,230
"Viudo(a) (020)",1176,12,348,514,143,33,17,6,,,103
"Divorciado(a) (021)",66,,25,13,11,3,,,,,14
"Soltero(a) (022)",841,6,162,181,61,36,10,6,,,379
