"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia GRAU (000)",21508,8769,1867,234,10660
"Hombres (001)",10936,4157,968,130,5692
"Mujeres (002)",10572,4612,899,104,4968
"PEA (003)",6167,1032,915,111,4119
"Hombres (004)",4542,651,586,80,3233
"Mujeres (005)",1625,381,329,31,886
"Ocupada (006)",5790,984,904,109,3803
"Hombres (007)",4236,612,577,78,2977
"Mujeres (008)",1554,372,327,31,826
"Desocupada (009)",377,48,11,2,316
"Hombres (010)",306,39,9,2,256
"Mujeres (011)",71,9,2,,60
"No PEA (012)",15341,7737,952,123,6541
"Hombres (013)",6394,3506,382,50,2459
"Mujeres (014)",8947,4231,570,73,4082
,,,,,
"URBANA (018)",8630,2964,1427,137,4114
"Hombres (019)",4268,1397,715,83,2079
"Mujeres (020)",4362,1567,712,54,2035
"PEA (021)",2876,396,704,66,1716
"Hombres (022)",1922,228,422,50,1227
"Mujeres (023)",954,168,282,16,489
"Ocupada (024)",2694,368,693,65,1574
"Hombres (025)",1779,205,413,49,1117
"Mujeres (026)",915,163,280,16,457
"Desocupada (027)",182,28,11,1,142
"Hombres (028)",143,23,9,1,110
"Mujeres (029)",39,5,2,,32
"No PEA (030)",5754,2568,723,71,2398
"Hombres (031)",2346,1169,293,33,852
"Mujeres (032)",3408,1399,430,38,1546
,,,,,
"RURAL (036)",12878,5805,440,97,6546
"Hombres (037)",6668,2760,253,47,3613
"Mujeres (038)",6210,3045,187,50,2933
"PEA (039)",3291,636,211,45,2403
"Hombres (040)",2620,423,164,30,2006
"Mujeres (041)",671,213,47,15,397
"Ocupada (042)",3096,616,211,44,2229
"Hombres (043)",2457,407,164,29,1860
"Mujeres (044)",639,209,47,15,369
"Desocupada (045)",195,20,,1,174
"Hombres (046)",163,16,,1,146
"Mujeres (047)",32,4,,,28
"No PEA (048)",9587,5169,229,52,4143
"Hombres (049)",4048,2337,89,17,1607
"Mujeres (050)",5539,2832,140,35,2536
