"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3869,304,6,1026,1536,217,437,74,269
"Agric., ganadería, caza y silvicultura (001)",1796,242,4,702,727,46,48,14,13
"Pesca (002)",3,,,,1,1,,1,
"Explotación de minas y canteras (003)",219,3,1,31,149,13,15,4,3
"Industrias manufactureras (004)",113,8,,38,56,3,3,3,2
"Suministro de electricidad, gas y agua (005)",2,,,,2,,,,
"Construcción (006)",196,8,,52,101,16,6,3,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",373,16,,85,179,43,37,9,4
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,,,3,9,3,3,,
"Comercio al por mayor (009)",15,,,5,3,4,1,1,1
"Comercio al por menor (010)",340,16,,77,167,36,33,8,3
"Hoteles y restaurantes (011)",98,7,,22,59,6,3,,1
"Trans., almac. y comunicaciones (012)",76,1,,6,43,8,14,3,1
"Intermediación financiera (013)",2,,,,,,2,,
"Activid.inmobil., empres. y de alquiler (014)",41,,,3,7,5,10,1,15
"Admin.pub. y defensa; p. segur.soc.afil (015)",137,,,7,53,10,36,11,20
"Enseñanza (016)",475,,,2,35,40,213,21,164
"Servicios sociales y de salud (017)",61,,,,1,3,28,1,28
"Otras activ. serv.comun.soc y personales (018)",46,1,,8,21,5,4,1,6
"Hogares privados con servicio doméstico (019)",54,4,,21,26,1,2,,
"Actividad economica no especificada (021)",177,14,1,49,76,17,16,2,2
"Hombres (022)",2615,148,3,718,1161,141,225,55,164
"Agric., ganadería, caza y silvicultura (023)",1380,128,2,524,627,37,38,12,12
"Pesca (024)",3,,,,1,1,,1,
"Explotación de minas y canteras (025)",206,2,1,29,139,13,15,4,3
"Industrias manufactureras (026)",80,4,,27,43,1,2,2,1
"Suministro de electricidad, gas y agua (027)",2,,,,2,,,,
"Construcción (028)",192,6,,50,101,16,6,3,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",155,2,,36,72,24,18,1,2
"Venta, mant.y rep. veh.autom.y motoc. (030)",17,,,3,8,3,3,,
"Comercio al por mayor (031)",9,,,4,2,2,1,,
"Comercio al por menor (032)",129,2,,29,62,19,14,1,2
"Hoteles y restaurantes (033)",20,,,2,13,4,1,,
"Trans., almac. y comunicaciones (034)",68,1,,6,42,6,9,3,1
"Intermediación financiera (035)",1,,,,,,1,,
"Activid.inmobil., empres. y de alquiler (036)",26,,,3,4,2,5,1,11
"Admin.pub. y defensa; p. segur.soc.afil (037)",99,,,6,40,6,21,11,15
"Enseñanza (038)",227,,,1,14,20,85,14,93
"Servicios sociales y de salud (039)",25,,,,,1,13,,11
"Otras activ. serv.comun.soc y personales (040)",21,1,,2,11,2,1,1,3
"Hogares privados con servicio doméstico (041)",4,,,4,,,,,
"Actividad economica no especificada (043)",106,4,,28,52,8,10,2,2
"Mujeres (044)",1254,156,3,308,375,76,212,19,105
"Agric., ganadería, caza y silvicultura (045)",416,114,2,178,100,9,10,2,1
"Explotación de minas y canteras (047)",13,1,,2,10,,,,
