"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia YAROWILCA (000)",16342,15779,563
"Hombres (001)",7584,7391,193
"Mujeres (002)",8758,8388,370
"De 18 a 29 años (003)",4969,4825,144
"Hombres (004)",2336,2251,85
"Mujeres (005)",2633,2574,59
"De 30 a 44 años (006)",4949,4899,50
"Hombres (007)",2267,2245,22
"Mujeres (008)",2682,2654,28
"De 45 a 64 años (009)",4384,4275,109
"Hombres (010)",1999,1973,26
"Mujeres (011)",2385,2302,83
"De 65 y más años (012)",2040,1780,260
"Hombres (013)",982,922,60
"Mujeres (014)",1058,858,200
,,,
"URBANA (015)",4230,4122,108
"Hombres (016)",2030,1984,46
"Mujeres (017)",2200,2138,62
"De 18 a 29 años (018)",1415,1378,37
"Hombres (019)",685,657,28
"Mujeres (020)",730,721,9
"De 30 a 44 años (021)",1377,1366,11
"Hombres (022)",655,648,7
"Mujeres (023)",722,718,4
"De 45 a 64 años (024)",1017,995,22
"Hombres (025)",486,481,5
"Mujeres (026)",531,514,17
"De 65 y más años (027)",421,383,38
"Hombres (028)",204,198,6
"Mujeres (029)",217,185,32
,,,
"RURAL (030)",12112,11657,455
"Hombres (031)",5554,5407,147
"Mujeres (032)",6558,6250,308
"De 18 a 29 años (033)",3554,3447,107
"Hombres (034)",1651,1594,57
"Mujeres (035)",1903,1853,50
"De 30 a 44 años (036)",3572,3533,39
"Hombres (037)",1612,1597,15
"Mujeres (038)",1960,1936,24
"De 45 a 64 años (039)",3367,3280,87
"Hombres (040)",1513,1492,21
"Mujeres (041)",1854,1788,66
"De 65 y más años (042)",1619,1397,222
"Hombres (043)",778,724,54
"Mujeres (044)",841,673,168
