"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ALTO AMAZONAS (000)",69488,13692,13930,13991,11621,7864,8390
"Conviviente (001)",27766,674,5722,9019,6624,3460,2267
"Separado(a) (002)",1421,25,190,278,327,291,310
"Casado(a) (003)",13424,38,395,2194,3507,3306,3984
"Viudo(a) (004)",2072,7,22,83,165,316,1479
"Divorciado(a) (005)",150,,11,22,44,30,43
"Soltero(a) (006)",24655,12948,7590,2395,954,461,307
"Hombres (008)",35632,7104,6812,7113,5953,4259,4391
"Conviviente (009)",13599,171,1926,4569,3586,2005,1342
"Separado(a) (010)",509,8,34,59,110,133,165
"Casado(a) (011)",6594,18,95,859,1595,1733,2294
"Viudo(a) (012)",546,3,7,28,45,70,393
"Divorciado(a) (013)",63,,1,10,14,12,26
"Soltero(a) (014)",14321,6904,4749,1588,603,306,171
"Mujeres (016)",33856,6588,7118,6878,5668,3605,3999
"Conviviente (017)",14167,503,3796,4450,3038,1455,925
"Separado(a) (018)",912,17,156,219,217,158,145
"Casado(a) (019)",6830,20,300,1335,1912,1573,1690
"Viudo(a) (020)",1526,4,15,55,120,246,1086
"Divorciado(a) (021)",87,,10,12,30,18,17
"Soltero(a) (022)",10334,6044,2841,807,351,155,136
,,,,,,,
"URBANA (024)",44507,8766,8688,8556,7450,5198,5849
"Conviviente (025)",15224,304,2862,4970,3802,1967,1319
"Separado(a) (026)",1050,15,142,207,259,209,218
"Casado(a) (027)",9883,20,237,1515,2582,2504,3025
"Viudo(a) (028)",1291,5,9,33,76,153,1015
"Divorciado(a) (029)",108,,2,12,33,26,35
"Soltero(a) (030)",16951,8422,5436,1819,698,339,237
"Hombres (032)",22126,4420,4200,4164,3659,2744,2939
"Conviviente (033)",7336,92,917,2408,2019,1131,769
"Separado(a) (034)",318,4,25,37,71,84,97
"Casado(a) (035)",4779,9,56,578,1150,1292,1694
"Viudo(a) (036)",302,3,4,13,17,28,237
"Divorciado(a) (037)",52,,1,6,10,11,24
"Soltero(a) (038)",9339,4312,3197,1122,392,198,118
"Mujeres (040)",22381,4346,4488,4392,3791,2454,2910
"Conviviente (041)",7888,212,1945,2562,1783,836,550
"Separado(a) (042)",732,11,117,170,188,125,121
"Casado(a) (043)",5104,11,181,937,1432,1212,1331
"Viudo(a) (044)",989,2,5,20,59,125,778
"Divorciado(a) (045)",56,,1,6,23,15,11
"Soltero(a) (046)",7612,4110,2239,697,306,141,119
,,,,,,,
"RURAL (048)",24981,4926,5242,5435,4171,2666,2541
"Conviviente (049)",12542,370,2860,4049,2822,1493,948
"Separado(a) (050)",371,10,48,71,68,82,92
"Casado(a) (051)",3541,18,158,679,925,802,959
"Viudo(a) (052)",781,2,13,50,89,163,464
"Divorciado(a) (053)",42,,9,10,11,4,8
"Soltero(a) (054)",7704,4526,2154,576,256,122,70
"Hombres (056)",13506,2684,2612,2949,2294,1515,1452
"Conviviente (057)",6263,79,1009,2161,1567,874,573
"Separado(a) (058)",191,4,9,22,39,49,68
"Casado(a) (059)",1815,9,39,281,445,441,600
"Viudo(a) (060)",244,,3,15,28,42,156
"Divorciado(a) (061)",11,,,4,4,1,2
"Soltero(a) (062)",4982,2592,1552,466,211,108,53
"Mujeres (064)",11475,2242,2630,2486,1877,1151,1089
"Conviviente (065)",6279,291,1851,1888,1255,619,375
"Separado(a) (066)",180,6,39,49,29,33,24
"Casado(a) (067)",1726,9,119,398,480,361,359
"Viudo(a) (068)",537,2,10,35,61,121,308
"Divorciado(a) (069)",31,,9,6,7,3,6
"Soltero(a) (070)",2722,1934,602,110,45,14,17
