"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANDIA (000)",14208,123,5487,5154,1517,408,166,52,10,,1291
"Catolica (001)",11256,96,4264,4120,1231,335,135,43,9,,1023
"Cristiana / Evangelica (002)",961,5,401,334,90,25,13,3,,,90
"Otra (003)",1640,14,682,586,159,40,17,6,1,,135
"Ninguna (004)",351,8,140,114,37,8,1,,,,43
,,,,,,,,,,,
"URBANA (006)",4107,31,1481,1425,480,134,70,22,4,,460
"Catolica (007)",3461,28,1227,1201,408,116,59,18,3,,401
"Cristiana / Evangelica (008)",166,,71,61,11,4,2,,,,17
"Otra (009)",379,1,148,128,51,9,9,4,1,,28
"Ninguna (010)",101,2,35,35,10,5,,,,,14
,,,,,,,,,,,
"RURAL (012)",10101,92,4006,3729,1037,274,96,30,6,,831
"Catolica (013)",7795,68,3037,2919,823,219,76,25,6,,622
"Cristiana / Evangelica (014)",795,5,330,273,79,21,11,3,,,73
"Otra (015)",1261,13,534,458,108,31,8,2,,,107
"Ninguna (016)",250,6,105,79,27,3,1,,,,29
