"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAMANGA (000)",217703,4186,72312,63344,39922,26371,11568
"Casa independiente (001)",197433,3765,65952,57262,36083,23873,10498
"Departamento en edificio (002)",2347,38,644,707,573,324,61
"Vivienda en quinta (003)",6808,139,1890,2273,1363,833,310
"Vivienda en casa de vecindad (004)",4471,85,1348,1554,880,411,193
"Choza o cabaña (005)",6404,155,2392,1481,978,901,497
"Vivienda improvisada (006)",94,3,43,23,13,9,3
"Local no destinado para hab.humana (007)",136,1,40,42,30,17,6
"Otro tipo (008)",10,,3,2,2,3,
,,,,,,,
"URBANA (009)",157988,2901,49407,49128,30322,18949,7281
"Casa independiente (010)",144157,2636,45453,44534,27469,17356,6709
"Departamento en edificio (011)",2347,38,644,707,573,324,61
"Vivienda en quinta (012)",6808,139,1890,2273,1363,833,310
"Vivienda en casa de vecindad (013)",4471,85,1348,1554,880,411,193
"Vivienda improvisada (015)",94,3,43,23,13,9,3
"Local no destinado para hab.humana (016)",102,,26,35,23,13,5
"Otro tipo (017)",9,,3,2,1,3,
,,,,,,,
"RURAL (018)",59715,1285,22905,14216,9600,7422,4287
"Casa independiente (019)",53276,1129,20499,12728,8614,6517,3789
"Choza o cabaña (023)",6404,155,2392,1481,978,901,497
"Local no destinado para hab.humana (025)",34,1,14,7,7,4,1
"Otro tipo (026)",1,,,,1,,
