"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CUSCO (000)",150924,135299,45713,22727,23688,16276,15612,6752,2948,1583,15625,273126
"De 12 a 14 años (001)",11407,11296,11238,46,12,,,,,,111,70
"De 15 a 19 años (002)",20841,20423,19119,1133,132,33,6,,,,418,1520
"De 20 a 24 años (003)",20267,15074,8706,4744,1346,207,54,17,,,5193,8395
"De 25 a 29 años (004)",18144,13358,2763,5585,3505,1121,338,31,15,,4786,17690
"De 30 a 34 años (005)",15736,13767,1307,4141,4774,2197,1148,164,18,18,1969,26581
"De 35 a 39 años (006)",13995,13031,724,2461,4411,2932,1987,422,76,18,964,32142
"De 40 a 44 años (007)",11655,11098,457,1404,3251,2786,2275,667,202,56,557,32669
"De 45 a 49 años (008)",9650,9308,320,987,2326,2223,2184,859,287,122,342,31070
"De 50 y más años (009)",29229,27944,1079,2226,3931,4777,7620,4592,2350,1369,1285,122989
"PEA (010)",71128,62337,14006,13629,14072,8973,7455,2701,1010,491,8791,132349
"De 12 a 14 años (011)",878,865,853,12,,,,,,,13,12
"De 15 a 19 años (012)",5422,5278,4773,446,44,12,3,,,,144,582
"De 20 a 24 años (013)",9399,6863,3910,2288,564,77,18,6,,,2536,3765
"De 25 a 29 años (014)",10955,7802,1964,3368,1788,529,131,12,10,,3153,9239
"De 30 a 34 años (015)",9982,8519,1006,2869,2813,1177,546,87,9,12,1463,15111
"De 35 a 39 años (016)",9179,8508,561,1835,2956,1776,1135,207,30,8,671,19584
"De 40 a 44 años (017)",7769,7434,288,1085,2357,1844,1374,367,98,21,335,20628
"De 45 a 49 años (018)",6276,6084,230,744,1670,1454,1352,444,136,54,192,18881
"De 50 y más años (019)",11268,10984,421,982,1880,2104,2896,1578,727,396,284,44547
