"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAROCHIRI (000)",19207,177,6912,6628,2127,793,340,90,15,,2125
"Catolica (001)",16718,150,6056,5716,1861,693,286,81,15,,1860
"Cristiana / Evangelica (002)",1652,13,595,597,170,70,27,6,,,174
"Otra (003)",618,13,182,233,71,26,24,3,,,66
"Ninguna (004)",219,1,79,82,25,4,3,,,,25
,,,,,,,,,,,
"URBANA (006)",13485,105,4629,4746,1585,608,262,68,10,,1472
"Catolica (007)",11807,90,4057,4146,1398,535,219,62,10,,1290
"Cristiana / Evangelica (008)",1185,9,424,426,125,56,20,4,,,121
"Otra (009)",352,5,91,126,47,15,20,2,,,46
"Ninguna (010)",141,1,57,48,15,2,3,,,,15
,,,,,,,,,,,
"RURAL (012)",5722,72,2283,1882,542,185,78,22,5,,653
"Catolica (013)",4911,60,1999,1570,463,158,67,19,5,,570
"Cristiana / Evangelica (014)",467,4,171,171,45,14,7,2,,,53
"Otra (015)",266,8,91,107,24,11,4,1,,,20
"Ninguna (016)",78,,22,34,10,2,,,,,10
