"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SANTIAGO DE CHUCO (000)",12871,4473,8398
"Red pública dentro de la vivienda (001)",3320,2265,1055
"Red pública fuera de la vivienda (002)",656,268,388
"Pilón de uso público (003)",330,35,295
"Camión - cisterna u otro similar (004)",5,1,4
"Pozo (005)",1547,103,1444
"Río, acequia, manatial o similar (006)",6689,1704,4985
"Vecino (007)",245,58,187
"Otro (008)",79,39,40
,,,
"URBANA (010)",4619,3651,968
"Red pública dentro de la vivienda (011)",2353,2083,270
"Red pública fuera de la vivienda (012)",274,232,42
"Pilón de uso público (013)",21,18,3
"Camión - cisterna u otro similar (014)",1,1,
"Pozo (015)",69,32,37
"Río, acequia, manatial o similar (016)",1724,1203,521
"Vecino (017)",129,49,80
"Otro (018)",48,33,15
,,,
"RURAL (020)",8252,822,7430
"Red pública dentro de la vivienda (021)",967,182,785
"Red pública fuera de la vivienda (022)",382,36,346
"Pilón de uso público (023)",309,17,292
"Camión - cisterna u otro similar (024)",4,,4
"Pozo (025)",1478,71,1407
"Río, acequia, manatial o similar (026)",4965,501,4464
"Vecino (027)",116,9,107
"Otro (028)",31,6,25
