"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PAUCARTAMBO (000)",10913,132,4695,3478,771,242,92,42,13,,1448
"Sin Nivel (001)",4996,79,1959,1686,382,130,52,33,10,,665
"Educación Inicial (002)",93,1,49,32,1,,,,,,10
"Primaria (003)",4458,47,2181,1343,261,73,24,7,1,,521
"Secundaria (004)",1013,5,460,305,60,12,4,1,1,,165
"Sup. no Univ. Incompleta (005)",78,,16,27,12,3,1,,,,19
"Sup. no Univ. Completa (006)",169,,20,57,28,12,7,,1,,44
"Sup. Univ. Incompleta (007)",26,,3,12,4,2,,,,,5
"Sup. Univ. Completa (008)",80,,7,16,23,10,4,1,,,19
,,,,,,,,,,,
"URBANA (010)",2150,21,818,687,203,72,34,13,1,,301
"Sin Nivel (011)",522,8,182,180,43,27,10,9,,,63
"Educación Inicial (012)",15,,9,5,,,,,,,1
"Primaria (013)",845,9,380,256,73,17,11,2,,,97
"Secundaria (014)",490,4,211,160,34,8,2,1,,,70
"Sup. no Univ. Incompleta (015)",62,,14,20,10,2,1,,,,15
"Sup. no Univ. Completa (016)",142,,15,50,23,10,7,,1,,36
"Sup. Univ. Incompleta (017)",20,,3,7,4,1,,,,,5
"Sup. Univ. Completa (018)",54,,4,9,16,7,3,1,,,14
,,,,,,,,,,,
"RURAL (020)",8763,111,3877,2791,568,170,58,29,12,,1147
"Sin Nivel (021)",4474,71,1777,1506,339,103,42,24,10,,602
"Educación Inicial (022)",78,1,40,27,1,,,,,,9
"Primaria (023)",3613,38,1801,1087,188,56,13,5,1,,424
"Secundaria (024)",523,1,249,145,26,4,2,,1,,95
"Sup. no Univ. Incompleta (025)",16,,2,7,2,1,,,,,4
"Sup. no Univ. Completa (026)",27,,5,7,5,2,,,,,8
"Sup. Univ. Incompleta (027)",6,,,5,,1,,,,,
"Sup. Univ. Completa (028)",26,,3,7,7,3,1,,,,5
