"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MOHO (000)",11750,9842,1908
"De 3 a 5 años (001)",1595,118,1477
"De 6 a 11 años (002)",3782,3410,372
"De 12 a 16 años (003)",3462,3443,19
"De 17 a 24 años (004)",2911,2871,40
"Hombres (005)",6072,5090,982
"De 3 a 5 años (006)",840,56,784
"De 6 a 11 años (007)",1903,1727,176
"De 12 a 16 años (008)",1848,1841,7
"De 17 a 24 años (009)",1481,1466,15
"Mujeres (010)",5678,4752,926
"De 3 a 5 años (011)",755,62,693
"De 6 a 11 años (012)",1879,1683,196
"De 12 a 16 años (013)",1614,1602,12
"De 17 a 24 años (014)",1430,1405,25
,,,
"URBANA (015)",3661,3092,569
"De 3 a 5 años (016)",484,50,434
"De 6 a 11 años (017)",1134,1019,115
"De 12 a 16 años (018)",1087,1076,11
"De 17 a 24 años (019)",956,947,9
"Hombres (020)",1908,1615,293
"De 3 a 5 años (021)",246,21,225
"De 6 a 11 años (022)",557,499,58
"De 12 a 16 años (023)",599,593,6
"De 17 a 24 años (024)",506,502,4
"Mujeres (025)",1753,1477,276
"De 3 a 5 años (026)",238,29,209
"De 6 a 11 años (027)",577,520,57
"De 12 a 16 años (028)",488,483,5
"De 17 a 24 años (029)",450,445,5
,,,
"RURAL (030)",8089,6750,1339
"De 3 a 5 años (031)",1111,68,1043
"De 6 a 11 años (032)",2648,2391,257
"De 12 a 16 años (033)",2375,2367,8
"De 17 a 24 años (034)",1955,1924,31
"Hombres (035)",4164,3475,689
"De 3 a 5 años (036)",594,35,559
"De 6 a 11 años (037)",1346,1228,118
"De 12 a 16 años (038)",1249,1248,1
"De 17 a 24 años (039)",975,964,11
"Mujeres (040)",3925,3275,650
"De 3 a 5 años (041)",517,33,484
"De 6 a 11 años (042)",1302,1163,139
"De 12 a 16 años (043)",1126,1119,7
"De 17 a 24 años (044)",980,960,20
