"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN MARCOS (000)",18955,18111,5134,2480,2526,1885,2604,1746,1736,844
"Católica (001)",15934,15225,4420,2180,2169,1597,2114,1361,1384,709
"Cristiana/Evangélica (002)",2790,2661,641,261,324,267,462,367,339,129
"Otra (003)",83,79,19,12,13,5,10,12,8,4
"Ninguna (004)",148,146,54,27,20,16,18,6,5,2
,,,,,,,,,,
"URBANA (006)",4606,4337,1278,687,739,503,553,300,277,269
"Católica (007)",3988,3748,1126,610,647,435,463,238,229,240
"Cristiana/Evangélica (008)",524,499,130,61,73,59,77,55,44,25
"Otra (009)",52,49,12,7,10,4,6,6,4,3
"Ninguna (010)",42,41,10,9,9,5,7,1,,1
,,,,,,,,,,
"RURAL (012)",14349,13774,3856,1793,1787,1382,2051,1446,1459,575
"Católica (013)",11946,11477,3294,1570,1522,1162,1651,1123,1155,469
"Cristiana/Evangélica (014)",2266,2162,511,200,251,208,385,312,295,104
"Otra (015)",31,30,7,5,3,1,4,6,4,1
"Ninguna (016)",106,105,44,18,11,11,11,5,5,1
