"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia TAHUAMANU (000)",3016,2818,2662,124,32,198,7,116,75,
"Casa independiente (001)",2177,2009,1898,95,16,168,3,113,52,
"Vivienda en quinta (003)",26,26,26,,,,,,,
"Vivienda en casa de vecindad (004)",344,335,328,5,2,9,4,3,2,
"Choza o cabaña (005)",445,426,390,23,13,19,,,19,
"Vivienda improvisada (006)",16,14,12,1,1,2,,,2,
"Local no dest.para hab. humana (007)",7,7,7,,,,,,,
"Otro tipo (008)",1,1,1,,,,,,,
,,,,,,,,,,
"URBANA (009)",2068,1899,1818,62,19,169,7,110,52,
"Casa independiente (010)",1674,1516,1444,56,16,158,3,107,48,
"Vivienda en quinta (012)",26,26,26,,,,,,,
"Vivienda en casa de vecindad (013)",344,335,328,5,2,9,4,3,2,
"Vivienda improvisada (015)",16,14,12,1,1,2,,,2,
"Local no dest.para hab. humana (016)",7,7,7,,,,,,,
"Otro tipo (017)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",948,919,844,62,13,29,,6,23,
"Casa independiente (019)",503,493,454,39,,10,,6,4,
"Choza o cabaña (023)",445,426,390,23,13,19,,,19,
