"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAMANA (000)",18691,14123,4568
"Casa independiente (001)",16251,13238,3013
"Departamento en edificio (002)",274,274,
"Vivienda en quinta (003)",134,134,
"Vivienda en casa de vecindad (004)",236,236,
"Choza o cabaña (005)",1540,,1540
"Vivienda improvisada (006)",203,203,
"Local no dest.para hab. humana (007)",17,13,4
"Otro tipo (008)",36,25,11
