"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia PADRE ABAD",,,,,,,
"Viviendas particulares (001)",11998,1140,465,1847,4179,1163,3204
"Ocupantes presentes (002)",48740,4504,1873,8245,17982,4744,11392
"Casa independiente",,,,,,,
"Viviendas particulares (004)",8851,851,269,1647,3310,939,1835
"Ocupantes presentes (005)",37535,3475,1169,7485,14599,3899,6908
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",79,60,19,,,,
"Ocupantes presentes (008)",275,215,60,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",364,183,145,,,,36
"Ocupantes presentes (011)",1284,647,522,,,,115
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",94,34,27,,,,33
"Ocupantes presentes (014)",370,131,104,,,,135
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2518,6,,170,845,219,1278
"Ocupantes presentes (017)",8939,14,,652,3295,822,4156
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",57,3,2,22,19,2,9
"Ocupantes presentes (020)",223,6,9,95,74,5,34
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",28,3,3,7,5,3,7
"Ocupantes presentes (023)",88,16,9,11,14,18,20
"Otro tipo",,,,,,,
"Viviendas particulares (025)",7,,,1,,,6
"Ocupantes presentes (026)",26,,,2,,,24
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",5647,1116,444,1295,1745,453,594
"Ocupantes presentes (029)",24907,4433,1779,6004,8177,2165,2349
"Casa independiente",,,,,,,
"Viviendas particulares (031)",5031,833,248,1267,1725,448,510
"Ocupantes presentes (032)",22673,3418,1075,5898,8099,2142,2041
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",79,60,19,,,,
"Ocupantes presentes (035)",275,215,60,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",364,183,145,,,,36
"Ocupantes presentes (038)",1284,647,522,,,,115
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",94,34,27,,,,33
"Ocupantes presentes (041)",370,131,104,,,,135
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",57,3,2,22,19,2,9
"Ocupantes presentes (047)",223,6,9,95,74,5,34
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",18,3,3,5,1,3,3
"Ocupantes presentes (050)",63,16,9,9,4,18,7
"Otro tipo",,,,,,,
"Viviendas particulares (052)",4,,,1,,,3
"Ocupantes presentes (053)",19,,,2,,,17
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6351,24,21,552,2434,710,2610
"Ocupantes presentes (056)",23833,71,94,2241,9805,2579,9043
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3820,18,21,380,1585,491,1325
"Ocupantes presentes (059)",14862,57,94,1587,6500,1757,4867
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2518,6,,170,845,219,1278
"Ocupantes presentes (071)",8939,14,,652,3295,822,4156
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",10,,,2,4,,4
"Ocupantes presentes (077)",25,,,2,10,,13
"Otro tipo",,,,,,,
"Viviendas particulares (079)",3,,,,,,3
"Ocupantes presentes (080)",7,,,,,,7
