"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia OXAPAMPA (000)",21725,7657,14068
"Casa independiente (001)",15968,6665,9303
"Departamento en edificio (002)",64,64,
"Vivienda en quinta (003)",402,402,
"Vivienda en casa de vecindad (004)",384,384,
"Choza o cabaña (005)",4735,,4735
"Vivienda improvisada (006)",97,97,
"Local no dest.para hab. humana (007)",47,25,22
"Otro tipo (008)",28,20,8
