"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",44186,12620,3258,1159,27238
"Hombres (001)",23902,5903,1763,886,15401
"Mujeres (002)",20284,6717,1495,273,11837
"PEA (003)",17876,2825,1604,507,12985
"Hombres (004)",13395,1741,1041,448,10202
"Mujeres (005)",4481,1084,563,59,2783
"Ocupada (006)",16835,2645,1557,491,12187
"Hombres (007)",12563,1631,1008,435,9526
"Mujeres (008)",4272,1014,549,56,2661
"Desocupada (009)",1041,180,47,16,798
"Hombres (010)",832,110,33,13,676
"Mujeres (011)",209,70,14,3,122
"No PEA (012)",26310,9795,1654,652,14253
"Hombres (013)",10507,4162,722,438,5199
"Mujeres (014)",15803,5633,932,214,9054
,,,,,
"URBANA (018)",13646,3933,2188,512,7050
"Hombres (019)",7174,1799,1166,400,3832
"Mujeres (020)",6472,2134,1022,112,3218
"PEA (021)",5370,722,1057,244,3367
"Hombres (022)",3719,408,665,207,2454
"Mujeres (023)",1651,314,392,37,913
"Ocupada (024)",4864,644,1014,233,2993
"Hombres (025)",3331,367,636,198,2145
"Mujeres (026)",1533,277,378,35,848
"Desocupada (027)",506,78,43,11,374
"Hombres (028)",388,41,29,9,309
"Mujeres (029)",118,37,14,2,65
"No PEA (030)",8276,3211,1131,268,3683
"Hombres (031)",3455,1391,501,193,1378
"Mujeres (032)",4821,1820,630,75,2305
,,,,,
"RURAL (036)",30540,8687,1070,647,20188
"Hombres (037)",16728,4104,597,486,11569
"Mujeres (038)",13812,4583,473,161,8619
"PEA (039)",12506,2103,547,263,9618
"Hombres (040)",9676,1333,376,241,7748
"Mujeres (041)",2830,770,171,22,1870
"Ocupada (042)",11971,2001,543,258,9194
"Hombres (043)",9232,1264,372,237,7381
"Mujeres (044)",2739,737,171,21,1813
"Desocupada (045)",535,102,4,5,424
"Hombres (046)",444,69,4,4,367
"Mujeres (047)",91,33,,1,57
"No PEA (048)",18034,6584,523,384,10570
"Hombres (049)",7052,2771,221,245,3821
"Mujeres (050)",10982,3813,302,139,6749
