"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JAUJA (000)",92053,1528,28373,22418,16030,14610,9094
"Hombres (001)",44311,745,14497,11063,7188,6663,4155
"Mujeres (002)",47742,783,13876,11355,8842,7947,4939
"Viviendas particulares (003)",91508,1519,28339,22113,15908,14552,9077
"Hombres (004)",43887,739,14479,10813,7097,6616,4143
"Mujeres (005)",47621,780,13860,11300,8811,7936,4934
"Viviendas colectivas (006)",386,9,28,245,80,20,4
"Hombres (007)",299,6,13,201,61,15,3
"Mujeres (008)",87,3,15,44,19,5,1
"Otro tipo (009)",159,,6,60,42,38,13
"Hombres (010)",125,,5,49,30,32,9
"Mujeres (011)",34,,1,11,12,6,4
,,,,,,,
"URBANA (012)",63941,1001,18665,15944,11447,10336,6548
"Hombres (013)",30584,497,9524,7835,5050,4670,3008
"Mujeres (014)",33357,504,9141,8109,6397,5666,3540
"Viviendas particulares (015)",63443,992,18632,15665,11338,10284,6532
"Hombres (016)",30197,491,9507,7604,4972,4627,2996
"Mujeres (017)",33246,501,9125,8061,6366,5657,3536
"Viviendas colectivas (018)",341,9,27,220,67,14,4
"Hombres (019)",262,6,12,182,48,11,3
"Mujeres (020)",79,3,15,38,19,3,1
"Otro tipo (021)",157,,6,59,42,38,12
"Hombres (022)",125,,5,49,30,32,9
"Mujeres (023)",32,,1,10,12,6,3
,,,,,,,
"RURAL (024)",28112,527,9708,6474,4583,4274,2546
"Hombres (025)",13727,248,4973,3228,2138,1993,1147
"Mujeres (026)",14385,279,4735,3246,2445,2281,1399
"Viviendas particulares (027)",28065,527,9707,6448,4570,4268,2545
"Hombres (028)",13690,248,4972,3209,2125,1989,1147
"Mujeres (029)",14375,279,4735,3239,2445,2279,1398
"Viviendas colectivas (030)",45,,1,25,13,6,
"Hombres (031)",37,,1,19,13,4,
"Mujeres (032)",8,,,6,,2,
"Otro tipo (033)",2,,,1,,,1
"Mujeres (035)",2,,,1,,,1
