"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMBAYEQUE (000)",78453,56696,7314,6064,8379
"Sin nivel (001)",4243,3552,283,183,225
"Educación inicial (002)",82,67,3,6,6
"Primaria (003)",29132,23652,2368,1603,1509
"Secundaria (004)",27479,20226,2674,1912,2667
"Superior no univ. incompleta (005)",3425,2373,344,278,430
"Superior no univ. completa (006)",6297,3262,654,773,1608
"Superior univ. incompleta (007)",2271,1380,308,221,362
"Superior univ. completa (008)",5524,2184,680,1088,1572
"De 06 a 14 años (010)",1530,1271,127,73,59
"Sin nivel (011)",102,88,8,4,2
"Educación inicial (012)",19,19,,,
"Primaria (013)",1088,906,89,48,45
"Secundaria (014)",321,258,30,21,12
"De 15 a 29 años (020)",26701,18718,2973,2217,2793
"Sin nivel (021)",518,377,59,28,54
"Educación inicial (022)",35,28,,4,3
"Primaria (023)",7741,5873,782,537,549
"Secundaria (024)",12286,8903,1331,927,1125
"Superior no univ. incompleta (025)",1567,1098,172,129,168
"Superior no univ. completa (026)",2005,1104,248,241,412
"Superior univ. incompleta (027)",1250,778,182,120,170
"Superior univ. completa (028)",1299,557,199,231,312
"De 30 a 44 años (030)",26081,18050,2505,2247,3279
"Sin nivel (031)",963,766,72,54,71
"Educación inicial (032)",28,20,3,2,3
"Primaria (033)",8501,6696,743,554,508
"Secundaria (034)",9665,7085,928,654,998
"Superior no univ. incompleta (035)",1249,857,112,101,179
"Superior no univ. completa (036)",2756,1386,285,330,755
"Superior univ. incompleta (037)",586,342,82,62,100
"Superior univ. completa (038)",2333,898,280,490,665
"De 45 a 64 años (040)",19486,14482,1482,1409,2113
"Sin nivel (041)",1596,1348,98,79,71
"Primaria (043)",8879,7494,626,400,359
"Secundaria (044)",4856,3687,367,296,506
"Superior no univ. incompleta (045)",549,373,52,46,78
"Superior no univ. completa (046)",1451,704,113,197,437
"Superior univ. incompleta (047)",397,229,43,36,89
"Superior univ. completa (048)",1758,647,183,355,573
"De 65 y más años (050)",4655,4175,227,118,135
"Sin nivel (051)",1064,973,46,18,27
"Primaria (053)",2923,2683,128,64,48
"Secundaria (054)",351,293,18,14,26
"Superior no univ. incompleta (055)",60,45,8,2,5
"Superior no univ. completa (056)",85,68,8,5,4
