"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONDESUYOS (000)",8408,4966,761,638,2043
"Empleado (001)",1213,283,112,259,559
"Obrero (002)",3116,1011,264,361,1480
"Trabajador independiente (003)",3185,2873,312,,
"Empleador o patrono (004)",82,60,10,10,2
"Trabajador familiar no remunerado (005)",760,687,63,8,2
"Trabajador del hogar (006)",52,52,,,
"De 06 a 14 años (008)",70,65,4,,1
"Empleado (009)",2,2,,,
"Obrero (010)",15,13,1,,1
"Trabajador independiente (011)",8,7,1,,
"Trabajador familiar no remunerado (013)",40,38,2,,
"Trabajador del hogar (014)",5,5,,,
"De 15 a 29 años (016)",2673,1407,280,220,766
"Empleado (017)",387,119,32,51,185
"Obrero (018)",1216,360,115,162,579
"Trabajador independiente (019)",815,701,114,,
"Empleador o patrono (020)",12,7,1,3,1
"Trabajador familiar no remunerado (021)",218,195,18,4,1
"Trabajador del hogar (022)",25,25,,,
"De 30 a 44 años (024)",3106,1589,280,256,981
"Empleado (025)",519,95,52,125,247
"Obrero (026)",1267,317,93,125,732
"Trabajador independiente (027)",1076,966,110,,
"Empleador o patrono (028)",28,16,6,5,1
"Trabajador familiar no remunerado (029)",200,179,19,1,1
"Trabajador del hogar (030)",16,16,,,
"De 45 a 64 años (032)",1962,1362,151,157,292
"Empleado (033)",295,60,27,83,125
"Obrero (034)",543,258,47,71,167
"Trabajador independiente (035)",883,821,62,,
"Empleador o patrono (036)",24,20,2,2,
"Trabajador familiar no remunerado (037)",212,198,13,1,
"Trabajador del hogar (038)",5,5,,,
"De 65 y más años (040)",597,543,46,5,3
"Empleado (041)",10,7,1,,2
"Obrero (042)",75,63,8,3,1
"Trabajador independiente (043)",403,378,25,,
"Empleador o patrono (044)",18,17,1,,
"Trabajador familiar no remunerado (045)",90,77,11,2,
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",3219,1932,312,407,568
"Empleado (049)",758,191,71,220,276
"Obrero (050)",1069,471,130,179,289
"Trabajador independiente (051)",1043,967,76,,
"Empleador o patrono (052)",32,28,2,,2
"Trabajador familiar no remunerado (053)",279,237,33,8,1
"Trabajador del hogar (054)",38,38,,,
"De 06 a 14 años (056)",40,37,3,,
"Empleado (057)",2,2,,,
