"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMAS (000)",73111,10710,1609,41821,15639,886,1207,462,777
"Jefe o Jefa (001)",18456,1630,16,11835,3796,234,488,133,324
"Esposa(o)/ compa¤era(o) (002)",13914,2420,22,8555,2330,102,277,54,154
"Hijo(a)/ hijastro(a) (003)",30009,4495,1231,16020,7199,391,280,207,186
"Yerno/ nuera (004)",1394,70,5,744,467,33,41,10,24
"Nieto(a) (005)",2935,735,242,1430,457,33,8,18,12
"Padres/ suegros (006)",1022,526,,446,43,1,2,,4
"Otro(a) pariente (007)",4146,719,81,2248,923,64,54,22,35
"Trabajador(a) del hogar (008)",126,14,,64,41,6,,1,
"Pensionista (009)",69,,,16,34,6,5,1,7
"Otro(a) no pariente (010)",1040,101,12,463,349,16,52,16,31
"Hombres (012)",38371,4029,804,22463,9223,496,632,263,461
"Jefe o Jefa (013)",15631,991,12,10305,3357,196,381,116,273
"Esposa(o)/ compa¤era(o) (014)",460,25,,261,137,7,13,8,9
"Hijo(a)/ hijastro(a) (015)",16743,2197,630,9003,4357,210,141,102,103
"Yerno/ nuera (016)",459,10,1,202,190,11,22,7,16
"Nieto(a) (017)",1572,360,112,781,279,17,5,11,7
"Padres/ suegros (018)",310,98,,185,23,,1,,3
"Otro(a) pariente (019)",2384,290,42,1353,588,42,30,12,27
"Trabajador(a) del hogar (020)",18,3,,9,5,,,1,
"Pensionista (021)",44,,,10,23,4,3,,4
"Otro(a) no pariente (022)",750,55,7,354,264,9,36,6,19
"Mujeres (024)",34740,6681,805,19358,6416,390,575,199,316
"Jefe o Jefa (025)",2825,639,4,1530,439,38,107,17,51
"Esposa(o)/ compa¤era(o) (026)",13454,2395,22,8294,2193,95,264,46,145
"Hijo(a)/ hijastro(a) (027)",13266,2298,601,7017,2842,181,139,105,83
"Yerno/ nuera (028)",935,60,4,542,277,22,19,3,8
"Nieto(a) (029)",1363,375,130,649,178,16,3,7,5
"Padres/ suegros (030)",712,428,,261,20,1,1,,1
"Otro(a) pariente (031)",1762,429,39,895,335,22,24,10,8
"Trabajador(a) del hogar (032)",108,11,,55,36,6,,,
"Pensionista (033)",25,,,6,11,2,2,1,3
"Otro(a) no pariente (034)",290,46,5,109,85,7,16,10,12
,,,,,,,,,
"URBANA (036)",35269,3778,843,17515,10195,745,1075,410,708
"Jefe o Jefa (037)",9035,512,7,5117,2374,190,427,115,293
"Esposa(o)/ compa¤era(o) (038)",6495,741,13,3677,1522,85,263,49,145
"Hijo(a)/ hijastro(a) (039)",13899,1500,595,6110,4746,335,252,189,172
"Yerno/ nuera (040)",765,33,5,316,318,27,37,9,20
"Nieto(a) (041)",1746,413,164,753,352,31,8,14,11
"Padres/ suegros (042)",600,243,,316,35,1,2,,3
"Otro(a) pariente (043)",2058,283,51,975,598,56,46,19,30
"Trabajador(a) del hogar (044)",85,9,,43,28,5,,,
"Pensionista (045)",53,,,12,27,3,3,1,7
"Otro(a) no pariente (046)",533,44,8,196,195,12,37,14,27
