"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMPA (000)",36812,5728,4298,697,26113
"Conviviente (001)",8216,1131,1077,155,5859
"Separado(a) (002)",830,99,48,6,677
"Casado(a) (003)",11886,1340,1875,283,8403
"Viudo(a) (004)",2214,314,276,53,1572
"Divorciado(a) (005)",113,14,11,1,87
"Soltero(a) (006)",13553,2830,1011,199,9515
"Hombres (008)",18308,2669,2646,451,12560
"Conviviente (009)",4098,460,734,97,2811
"Separado(a) (010)",138,15,21,5,97
"Casado(a) (011)",6032,625,1142,191,4085
"Viudo(a) (012)",667,85,92,16,475
"Divorciado(a) (013)",45,5,8,,32
"Soltero(a) (014)",7328,1479,649,142,5060
"Mujeres (016)",18504,3059,1652,246,13553
"Conviviente (017)",4118,671,343,58,3048
"Separado(a) (018)",692,84,27,1,580
"Casado(a) (019)",5854,715,733,92,4318
"Viudo(a) (020)",1547,229,184,37,1097
"Divorciado(a) (021)",68,9,3,1,55
"Soltero(a) (022)",6225,1351,362,57,4455
,,,,,
"URBANA (024)",14185,2065,2455,389,9291
"Conviviente (025)",3502,437,554,98,2418
"Separado(a) (026)",337,38,33,4,262
"Casado(a) (027)",4084,457,1090,154,2391
"Viudo(a) (028)",681,108,120,13,440
"Divorciado(a) (029)",40,4,8,1,27
"Soltero(a) (030)",5541,1021,650,119,3753
"Hombres (032)",6946,932,1270,261,4494
"Conviviente (033)",1657,165,296,68,1131
"Separado(a) (034)",54,4,12,4,34
"Casado(a) (035)",2038,208,569,104,1163
"Viudo(a) (036)",191,29,43,5,114
"Divorciado(a) (037)",16,1,5,,10
"Soltero(a) (038)",2990,525,345,80,2042
"Mujeres (040)",7239,1133,1185,128,4797
"Conviviente (041)",1845,272,258,30,1287
"Separado(a) (042)",283,34,21,,228
"Casado(a) (043)",2046,249,521,50,1228
"Viudo(a) (044)",490,79,77,8,326
"Divorciado(a) (045)",24,3,3,1,17
"Soltero(a) (046)",2551,496,305,39,1711
,,,,,
"RURAL (048)",22627,3663,1843,308,16822
"Conviviente (049)",4714,694,523,57,3441
"Separado(a) (050)",493,61,15,2,415
"Casado(a) (051)",7802,883,785,129,6012
"Viudo(a) (052)",1533,206,156,40,1132
"Divorciado(a) (053)",73,10,3,,60
"Soltero(a) (054)",8012,1809,361,80,5762
"Hombres (056)",11362,1737,1376,190,8066
"Conviviente (057)",2441,295,438,29,1680
"Separado(a) (058)",84,11,9,1,63
"Casado(a) (059)",3994,417,573,87,2922
"Viudo(a) (060)",476,56,49,11,361
"Divorciado(a) (061)",29,4,3,,22
"Soltero(a) (062)",4338,954,304,62,3018
"Mujeres (064)",11265,1926,467,118,8756
"Conviviente (065)",2273,399,85,28,1761
"Separado(a) (066)",409,50,6,1,352
"Casado(a) (067)",3808,466,212,42,3090
"Viudo(a) (068)",1057,150,107,29,771
"Divorciado(a) (069)",44,6,,,38
"Soltero(a) (070)",3674,855,57,18,2744
