"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SANTA CRUZ (000)",16197,15663,4590,1941,1763,1496,2196,1528,2149,534
"Católica (001)",12363,11931,3504,1509,1375,1138,1656,1145,1604,432
"Cristiana/Evangélica (002)",2074,2020,538,233,216,195,305,233,300,54
"Otra (003)",906,882,253,98,91,74,136,83,147,24
"Ninguna (004)",854,830,295,101,81,89,99,67,98,24
,,,,,,,,,,
"URBANA (006)",3557,3367,1037,511,474,379,493,215,258,190
"Católica (007)",2944,2780,861,430,398,319,406,171,195,164
"Cristiana/Evangélica (008)",318,305,91,49,35,33,43,27,27,13
"Otra (009)",234,224,65,25,32,22,35,16,29,10
"Ninguna (010)",61,58,20,7,9,5,9,1,7,3
,,,,,,,,,,
"RURAL (012)",12640,12296,3553,1430,1289,1117,1703,1313,1891,344
"Católica (013)",9419,9151,2643,1079,977,819,1250,974,1409,268
"Cristiana/Evangélica (014)",1756,1715,447,184,181,162,262,206,273,41
"Otra (015)",672,658,188,73,59,52,101,67,118,14
"Ninguna (016)",793,772,275,94,72,84,90,66,91,21
